journal_name,journal_raw,publisher,issn,quality_rank,abdc_edition,impact_factor,impact_factor_5yr,jcr_year,sjr,sjr_quartile,h_index,cites_per_doc_2y,scimago_year
Journal of Accounting Research,Journal of Accounting Research,WILEY,0021-8456; 1475-679X,A*,2025,10.4,10.3,2025,9.774,Q1,186,12.22,2025
International Review of Economics & Finance,International Review of Economics and Finance,Elsevier,1059-0560; 1873-8036,A,2025,7.6,6.8,2025,1.485,Q1,101,8.27,2025
Journal of Financial Research,Journal of Financial Research,WILEY,0270-2592; 1475-6803,A,2025,,,,0.436,Q2,58,1.85,2025
Market Microstructure and Liquidity,Market Microstructure and Liquidity,World Scientific Publ Co Pte Ltd,2382-6266; 2424-8037,B,2025,,,,,,,,
Journal of Empirical Finance,Journal of Empirical Finance,Elsevier,0927-5398; 1879-1727,A,2025,2.5,2.6,2025,1.139,Q1,101,3.05,2025
Review of Derivatives Research,Review of Derivatives Research,Springer Science and Business Media LLC,1380-6645; 1573-7144,B,2025,1.2,0.9,2025,0.287,Q3,30,1.33,2025
Australian Journal of Management,Australian Journal of Management,SAGE Publications,0312-8962; 1327-2020,A,2025,3.1,5.0,2025,0.778,Q1,57,3.96,2025
Review of Quantitative Finance and Accounting,Review of Quantitative Finance and Accounting,Springer Science and Business Media LLC,0924-865X; 1573-7179,B,2025,2.2,2.2,2025,0.7,Q2,63,3.24,2025
Techniques in Coloproctology,Techniques in Coloproctology,SPRINGER,1123-6337; 1128-045X,,,2.6,3.0,2025,0.777,Q1,72,2.21,2025
Issues in Accounting Education,Issues in Accounting Education,American Accounting Association,0739-3172; 1558-7983,A,2025,2.1,2.3,2025,0.502,Q2,36,2.26,2025
Accounting Research Journal,Accounting Research Journal,EMERALD GROUP PUBLISHING LTD,1030-9616; 1839-5465,B,2025,3.3,3.0,2025,0.62,Q2,37,5.11,2025
Review of Accounting Studies,Review of accounting studies,SPRINGER,1380-6653; 1573-7136,A*,2025,5.7,9.9,2025,5.56,Q1,118,8.99,2025
"Accounting, Organizations and Society","Accounting, Organizations and Society",Elsevier,0361-3682; 1873-6289,A*,2025,4.5,5.7,2025,3.098,Q1,170,5.0,2025
Journal of Cultural Economics,Journal of Cultural Economics,SPRINGER,0885-2545; 1573-6997,A,2025,1.8,3.1,2025,0.667,Q1,59,2.72,2025
European Economic Review,European Economic Review,ELSEVIER,0014-2921; 1873-572X,A*,2025,2.3,3.5,2025,2.017,Q1,161,2.72,2025
Abacus,Abacus,Wiley,0001-3072; 1467-6281,A,2025,1.7,2.8,2025,0.762,Q2,60,3.2,2025
International Journal of Accounting Information Systems,International Journal of Accounting Information Systems,Elsevier BV,1467-0895; 1873-4723,A,2025,7.4,7.7,2025,1.747,Q1,74,12.21,2025
Business & Information Systems Engineering,Business and Information Systems Engineering,Springer Science and Business Media LLC,2363-7005; 1867-0202,A,2025,12.2,12.7,2025,2.336,Q1,83,14.27,2025
Australasian Journal of Information Systems,Australasian Journal of Information Systems,Australasian Association for Information Systems,1449-8618; 1326-2238; 1039-7841,A,2025,1.4,2.4,2025,0.468,Q2,37,2.16,2025
Decision Support Systems,Decision Support Systems,ELSEVIER,0167-9236; 1873-5797,A*,2025,7.5,8.2,2025,2.079,Q1,203,9.06,2025
Information Technology & People,Information Technology & People,EMERALD GROUP PUBLISHING LIMITED,0959-3845; 1758-5813,A,2025,6.3,6.6,2025,1.956,Q1,92,10.69,2025
Journal of Accounting and Public Policy,Journal of Accounting and Public Policy,Elsevier BV,0278-4254; 1873-2070,A*,2025,2.2,4.1,2025,0.97,Q1,104,2.74,2025
Meditari Accountancy Research,Meditari:Accountancy Research,EMERALD GROUP PUBLISHING LTD,2049-372X; 2049-3738; 1022-2529,A,2025,3.8,5.4,2025,0.974,Q1,59,5.94,2025
Chinese Management Accounting Review,Chinese Management Accounting Review,TBA,1006-138X,,,,,,,,,,
The International Journal of Accounting,"International Journal of Accounting, The",World Scientific Pub Co Pte Lt,0020-7063; 1094-4060; 1879-2251; 2213-3933,A,2025,2.2,2.4,2025,0.436,Q2,75,1.71,2025
Risks,Risks,MDPI AG,2227-9091,,,1.8,1.8,2025,0.374,Q2,45,2.79,2025
Journal of Business Ethics,Journal of Business Ethics,SPRINGER,0167-4544; 1573-0697,A,2025,6.3,9.7,2025,3.138,Q1,304,10.35,2025
The Australian Economic Review,"Australian Economic Review, The",Wiley,0004-9018; 1467-8462,B,2025,0.9,1.0,2025,0.292,Q3,37,0.79,2025
Journal of Financial Services Research,Journal of Financial Services Research,Springer Science and Business Media LLC,0920-8550; 1573-0735,A,2025,4.2,2.6,2025,1.198,Q1,66,4.3,2025
Journal of Real Estate Research,"Journal of Real Estate Research, The",Informa UK Limited,0896-5803; 2691-1175,B,2025,1.3,1.2,2025,0.442,Q2,41,1.56,2025
Journal of Financial Econometrics,Journal of Financial Econometrics,Oxford University Press (OUP),1479-8409; 1479-8417,A*,2025,1.8,3.1,2025,1.782,Q1,58,2.39,2025
Journal of Business & Economic Statistics,Journal of business & economic statistics,American Statistical Association,1537-2707; 0735-0015,A*,2025,2.4,3.7,2025,3.508,Q1,127,2.92,2025
Journal of Risk and Insurance,Journal of Risk and Insurance,Wiley,0022-4367; 1539-6975,A,2025,1.9,2.1,2025,1.248,Q1,78,2.23,2025
Journal of Economic Dynamics and Control,Journal of Economic Dynamics and Control,ELSEVIER,0165-1889; 1879-1743,A*,2025,1.8,2.2,2025,1.324,Q1,110,2.1,2025
Pacific-Basin Finance Journal,Pacific Basin Finance Journal,Elsevier BV,0927-538X; 1879-0585,A,2025,5.4,5.6,2025,1.322,Q1,92,6.12,2025
MIS Quarterly,MIS Quarterly,SOC INFORM MANAGE-MIS RES CENT,0276-7783; 2162-9730,A*,2025,7.3,11.9,2025,4.061,Q1,294,7.96,2025
International Journal of Information Management,International Journal of Information Management,Elsevier,0268-4012; 1873-4707,A,2025,31.0,25.6,2025,5.899,Q1,215,33.66,2025
Journal of Teaching and Learning,Journal of Teaching and Learning,University of Windsor Leddy Library,1492-1154; 1911-8279,,,1.2,1.7,2025,0.293,Q3,10,0.96,2025
Production and Operations Management,Production and Operations Management,SAGE PUBLICATIONS INC,1059-1478; 1937-5956,A*,2025,4.4,6.9,2025,3.612,Q1,161,5.48,2025
Economic Modelling,Economic Modelling,Elsevier BV,0264-9993; 1873-6122,A,2025,5.5,5.2,2025,1.348,Q1,133,6.5,2025
The European Accounting Review,European Accounting Review,Routledge,0963-8180; 1468-4497,A*,2025,2.2,4.8,2025,2.272,Q1,98,6.0,2025
The International journal of health planning and management,The International journal of health planning and management,Wiley,0749-6753; 1099-1751,,,2.5,2.2,2025,0.764,Q2,58,2.59,2025
Information Systems Frontiers,Information Systems Frontiers,Springer Science+Business Media,1387-3326; 1572-9419,A,2025,6.2,8.9,2025,2.549,Q1,106,15.4,2025
Information and Organization,Information and organization,Elsevier BV,1471-7727; 1873-7919,A*,2025,6.8,7.4,2025,1.726,Q1,83,9.32,2025
"Journal of Law, Finance, and Accounting","Journal of Law, Finance, and Accounting",Now Publishers,2380-5005; 2380-5013,,,0.2,0.7,2025,0.203,Q3,11,0.56,2025
Business Process Management Journal,Business Process Management Journal,Emerald Publishing Limited,1463-7154; 1758-4116,B,2025,5.2,5.3,2025,1.149,Q1,108,9.1,2025
Journal of the Association for Information Systems,Journal of the AIS,Association for Information Systems,1558-3457; 1536-9323,A*,2025,7.5,9.3,2025,2.577,Q1,117,8.63,2025
Journal of Information Technology,Journal of Information Technology,SAGE Publishing,0268-3962; 1466-4437,A*,2025,8.7,8.3,2025,2.434,Q1,102,10.73,2025
Communications of the Association for Information Systems,Communications of the Association for Information Systems,Association for Information Systems,1529-3181,A,2025,2.6,2.6,2025,0.816,Q2,70,3.5,2025
Journal of Information Systems,Journal of Information Systems,American Accounting Association,0888-7985; 1558-7959,A,2025,2.9,3.3,2025,0.731,Q1,52,2.83,2025
Communications of the Acm,Communications of the Acm,Association for Computing Machinery,0001-0782; 1557-7317,,,7.1,23.2,2025,1.54,Q1,259,2.94,2025
Data Base for Advances in Information Systems,Data Base for Advances in Information Systems,Association for Computing Machinery,0095-0033; 1532-0936; 2331-1584; 2331-1622,A,2025,1.7,2.6,2025,0.433,Q2,73,2.38,2025
E-Service Journal,E-Service Journal,Indiana University Press,1528-8226; 1528-8234,B,2025,,,,,,,,
Accounting & Finance Journal / Revista Contabilidade & Finanças,Revista Contabilidade & Finanças,University of São Paulo,1519-7077; 1808-057X,C,2025,,,,0.181,Q4,15,0.55,2025
Auditing: A Journal of Practice and Theory,Auditing: A Journal of Practice & Theory,American Accounting Association,0278-0380; 1558-7991,A*,2025,3.7,4.1,2025,2.32,Q1,111,4.48,2025
Accounting Horizons,Accounting Horizons,American Accounting Association,0888-7993; 1558-7975,A,2025,2.5,3.4,2025,1.361,Q1,98,3.31,2025
Advances in Management Accounting,Advances in Management Accounting,Emerald Publishing Limited,1474-7871,A,2025,,,,,,20,1.22,2025
"Journal of Public Budgeting, Accounting and Financial Management","Journal of Public Budgeting, Accounting & Financial Management",Emerald Publishing Limited,1096-3367; 1945-1814,B,2025,3.1,3.3,2025,0.74,Q1,32,3.55,2025
International Business Review,International Business Review,Elsevier BV,0969-5931; 1873-6149,A,2025,7.4,8.7,2025,2.144,Q1,142,9.12,2025
Journal of Accounting and Economics,Journal of Accounting and Economics,Elsevier BV,0165-4101; 1879-1980,A*,2025,7.8,10.3,2025,8.748,Q1,207,8.48,2025
China Journal of Accounting Studies,China Journal of Accounting Studies,Taylor & Francis,2169-7221; 2169-7213,B,2025,,,,0.481,Q2,17,2.25,2025
Anesthesia and Analgesia,Anesthesia and Analgesia,Lippincott Williams & Wilkins,0003-2999; 1526-7598,,,4.7,5.6,2025,1.124,Q1,245,2.64,2025
Journal of Accounting Education,Journal of Accounting Education,Elsevier BV,0748-5751; 1873-1996,B,2025,,,,0.577,Q2,51,3.4,2025
JAMA,JAMA,American Medical Association,0098-7484; 0002-9955; 1538-3598; 2376-8118,,,65.4,66.8,2025,5.843,Q1,818,7.96,2025
Behavioral Research in Accounting,Behavioral Research in Accounting,American Accounting Association,1050-4753; 1558-8009,A,2025,1.8,2.2,2025,0.679,Q2,36,1.83,2025
Journal of Emerging Technologies in Accounting,Journal of Emerging Technologies in Accounting,American Accounting Association,1554-1908; 1558-7940,B,2025,3.2,3.4,2025,0.838,Q2,34,3.56,2025
European Financial Management,European Financial Management,Wiley,1354-7798; 1468-036X,A,2025,4.2,4.1,2025,1.188,Q1,82,5.58,2025
Asia-Pacific Journal of Financial Studies,Asia-Pacific Journal of Financial Studies,Wiley,2041-6156; 2041-9945,B,2025,1.4,1.9,2025,0.542,Q2,29,1.54,2025
Review of Corporate Finance Studies,The Review of Corporate Finance Studies,Oxford University Press,2046-9128; 2046-9136,A*,2025,2.0,5.1,2025,3.738,Q1,30,3.22,2025
Financial Review (US),Financial Review,Wiley,0732-8516; 1540-6288,A,2025,2.1,2.2,2025,0.56,Q2,57,2.2,2025
Economics Letters,Economics Letters,Elsevier BV,0165-1765; 1873-7374,A,2025,2.0,2.0,2025,0.718,Q2,142,2.2,2025
Journal of Financial Intermediation,Journal of Financial Intermediation,Elsevier BV,1042-9573; 1096-0473,A*,2025,2.4,4.1,2025,2.275,Q1,101,2.97,2025
Experimental Economics,Experimental Economics,Springer Science+Business Media,1386-4157; 1573-6938,A*,2025,1.7,2.3,2025,1.619,Q1,71,1.76,2025
Japan and the World Economy,Japan and the World Economy,Elsevier BV,0922-1425; 1879-2006,B,2025,1.7,1.7,2025,0.637,Q1,45,1.85,2025
Journal of Multinational Financial Management,Journal of Multinational Financial Management,Elsevier BV,1042-444X; 1873-1309,B,2025,5.1,5.0,2025,1.199,Q1,65,6.3,2025
Journal of Economics and Business,Journal of Economics and Business,Elsevier BV,0148-6195; 1879-1735,B,2025,2.8,3.3,2025,0.783,Q1,65,3.2,2025
AEA Papers and Proceedings,AEA Papers and Proceedings,American Economic Association,2574-0768; 2574-0776,,,,,,,,,,
IEEE Wireless Communications,IEEE Wireless Communications,Institute of Electrical and Electronics Engineers,1536-1284; 1558-0687,,,13.4,12.8,2025,4.523,Q1,206,14.04,2025
IEEE Internet of Things Journal,IEEE Internet of Things Journal,Institute of Electrical and Electronics Engineers,2327-4662; 2372-2541,,,8.7,9.1,2025,2.144,Q1,233,9.87,2025
IEEE Sensors Journal,IEEE Sensors Journal,IEEE Sensors Council,1530-437X; 1558-1748; 2379-9153,,,4.5,4.8,2025,0.947,Q1,188,5.04,2025
IEEE Transactions on Vehicular Technology,IEEE Transactions on Vehicular Technology,Institute of Electrical and Electronics Engineers,0018-9545; 1939-9359,,,7.5,7.4,2025,2.052,Q1,254,8.47,2025
Digital Communications and Networks,Digital Communications and Networks,KeAi,2352-8648; 2468-5925,,,6.3,6.3,2025,1.375,Q1,68,7.6,2025
Journal of Mathematical Sociology,Journal of Mathematical Sociology,Taylor & Francis,0022-250X; 1545-5874,,,0.8,1.0,2025,0.347,Q2,39,1.29,2025
IEEE Access,IEEE Access,Institute of Electrical and Electronics Engineers,2169-3536,,,4.2,4.3,2025,0.884,Q1,338,6.01,2025
Environmental Science & Technology,Environmental Science & Technology,American Chemical Society,0013-936X; 1520-5851,,,12.2,13.1,2025,3.776,Q1,527,11.74,2025
Optics Express,Optics Express,Optica Publishing Group,1094-4087,,,3.4,3.5,2025,0.836,Q1,338,3.53,2025
Financial Markets and Portfolio Management,Financial Markets and Portfolio Management,Springer Science+Business Media,1555-4961; 1555-497X; 1934-4554; 2373-8529,B,2025,1.0,1.9,2025,0.343,Q3,31,2.29,2025
Journal of Pension Economics and Finance,Journal of Pension Economics and Finance,Cambridge University Press,1474-7472; 1475-3022,B,2025,1.3,1.8,2025,0.716,Q2,40,2.14,2025
The Review of Financial Studies,Review of Financial Studies,Oxford University Press,0893-9454; 1465-7368,A*,2025,7.6,12.7,2025,17.406,Q1,268,8.71,2025
Economica,Economica,Wiley,0013-0427; 1468-0335,A,2025,2.1,2.3,2025,1.678,Q1,80,1.93,2025
Journal of Econometrics,Journal of Econometrics,Elsevier BV,0304-4076; 1872-6895,A*,2025,4.7,9.1,2025,6.575,Q1,205,4.85,2025
Voprosy Ekonomiki,Voprosy Ekonomiki,Redaktsiya zhurnala Voprosy Ekonomiki,0042-8736,,,0.7,0.5,2025,0.312,Q1,23,0.94,2025
Quarterly Journal of Finance,"Quarterly Journal of Finance, The",World Scientific,2010-1392; 2010-1406,A,2025,0.7,0.9,2025,0.484,Q2,28,0.72,2025
"Journal of International Financial Markets, Institutions and Money","Journal of International Financial Markets, Institutions and Money",Elsevier BV,1042-4431; 1873-0612,A,2025,6.0,5.7,2025,1.389,Q1,94,7.71,2025
Financial Analysts Journal,Financial Analysts Journal,Taylor & Francis,0015-198X; 1938-3312,A,2025,2.2,4.2,2025,1.425,Q1,99,2.64,2025
European Journal of Political Economy,European Journal of Political Economy,Elsevier BV,0176-2680; 1873-5703,A,2025,3.0,3.1,2025,1.131,Q1,108,3.42,2025
Journal of Applied Econometrics,Journal of Applied Econometrics,Wiley,0883-7252; 1099-1255,A*,2025,2.5,3.0,2025,3.547,Q1,128,2.74,2025
Journal of International Money and Finance,Journal of International Money and Finance,Elsevier BV,0261-5606; 1873-0639,A,2025,3.6,3.9,2025,1.364,Q1,126,4.2,2025
Applied Financial Economics,Applied Financial Economics,Chapman and Hall London,0960-3107; 1466-4305,B,2025,,,,,,,,
Insurance: Mathematics & Economics,Insurance: Mathematics and Economics,Elsevier BV,0167-6687; 1873-5959,A*,2025,1.8,2.2,2025,1.117,Q1,95,2.01,2025
Journal of International Economics,Journal of International Economics,Elsevier BV,0022-1996; 1873-0353,A*,2025,4.6,5.6,2025,4.841,Q1,179,4.49,2025
Corporate Ownership and Control,Corporate Ownership and Control,"Publishing house ""Virtus Interpress""",1727-9232; 1810-0368; 1810-3057,,,,,,,,,,
Corporate Social Responsibility and Environmental Management,Corporate Social Responsibility and Environmental Management,Wiley,1535-3958; 1535-3966,C,2025,10.1,11.6,2025,2.147,Q1,146,13.18,2025
Journal of Applied Corporate Finance,Journal of Applied Corporate Finance,,1078-1196; 1745-6622; 1936-8216,A,2025,,,,,,,,
Emerging Markets Review,Emerging Markets Review,Elsevier BV,1566-0141; 1873-6173,A,2025,4.4,5.3,2025,1.115,Q1,83,5.16,2025
Finance Research Letters,Finance Research Letters,Elsevier BV,1544-6123; 1544-6131,A,2025,7.1,7.2,2025,1.672,Q1,143,8.17,2025
The Journal of Impact and ESG Investing,The Journal of Impact and ESG Investing,,2693-1982; 2693-1974,,,,,,,,,,
Science Advances,Science Advances,American Association for the Advancement of Science,2375-2548,,,13.9,14.8,2025,4.534,Q1,325,13.1,2025
Journal of Mathematical Psychology,Journal of Mathematical Psychology,Elsevier BV,0022-2496; 1096-0880,,,1.4,2.1,2025,0.913,Q1,88,1.4,2025
Neurobiology of aging,Neurobiology of aging,Elsevier BV,0197-4580; 1558-1497,,,4.0,4.4,2025,1.357,Q1,228,4.23,2025
Trends in cognitive sciences,Trends in cognitive sciences,Elsevier BV,1364-6613; 1879-307X,,,20.3,22.6,2025,4.351,Q1,390,11.14,2025
Biological psychiatry,Biological psychiatry,Elsevier BV,0006-3223; 1873-2402,,,10.3,11.2,2025,3.611,Q1,380,5.88,2025
Neuroscience and biobehavioral reviews,Neuroscience and biobehavioral reviews,Elsevier BV,0149-7634; 1873-7528,,,8.5,10.2,2025,3.06,Q1,319,8.3,2025
The lancet. Psychiatry,The lancet. Psychiatry,Elsevier BV,2215-0366; 2215-0374,,,21.1,32.5,2025,8.07,Q1,176,6.06,2025
