journal_name,journal_raw,publisher,issn,quality_rank,abdc_edition,impact_factor,impact_factor_5yr,jcr_year,sjr,sjr_quartile,h_index,cites_per_doc_2y,scimago_year
Australian Journal of Management,Australian Journal of Management,SAGE Publishing,0312-8962; 1327-2020,A,2025,3.1,5.0,2025,0.778,Q1,57,3.96,2025
Australian Accounting Review,Australian Accounting Review,Wiley,1035-6908; 1835-2561,B,2025,2.8,3.1,2025,0.702,Q2,54,3.1,2025
Accountants Digest,Accountants Digest,,,,,,,,,,,,
Natural Language Engineering,Natural Language Engineering,,,,,,,,,,,,
The Accounting Review,The Accounting Review,American Accounting Association,0001-4826; 1558-7967,A*,2025,4.0,7.2,2025,4.403,Q1,217,3.71,2025
Journal of Management Accounting Research,Journal of Management Accounting Research,American Accounting Association,1049-2127; 1558-8033,A*,2025,1.5,2.1,2025,1.248,Q1,38,1.91,2025
Journal of Business Finance & Accounting,Journal of Business Finance and Accounting,Wiley,0306-686X; 1468-5957,A*,2025,2.6,3.5,2025,1.202,Q1,102,3.81,2025
Journal of International Accounting Research,Journal of International Accounting Research,American Accounting Association,1542-6297; 1558-8025,A,2025,1.9,1.7,2025,0.526,Q2,34,1.98,2025
Meditari Accountancy Research,Meditari Accountancy Research,Emerald Publishing Limited,1022-2529; 2049-372X; 2049-3738,A,2025,3.8,5.4,2025,0.974,Q1,59,5.94,2025
Accounting and Finance,Accounting and Finance,Wiley,0810-5391; 1467-629X,A,2025,2.6,3.6,2025,0.814,Q1,77,3.53,2025
Journal of Cleaner Production,Journal of Cleaner Production,Elsevier BV,0959-6526; 1879-1786,C,2025,10.7,11.0,2025,2.019,Q1,397,11.78,2025
"Accounting, Organizations and Society","Accounting, Organizations and Society",Elsevier BV,0361-3682; 1873-6289,A*,2025,4.5,5.7,2025,3.098,Q1,170,5.0,2025
Journal of Business Ethics,Journal of Business Ethics,Springer Science+Business Media,0167-4544; 1573-0697,A,2025,6.3,9.7,2025,3.138,Q1,304,10.35,2025
Journal of Banking & Finance,Journal of Banking & Finance,Elsevier BV,0378-4266; 1872-6372,A*,2025,4.0,4.7,2025,1.954,Q1,225,5.11,2025
International Review of Finance,International Review of Finance,Wiley,1369-412X; 1468-2443,A,2025,2.3,2.2,2025,0.636,Q2,35,2.96,2025
Pacific-Basin Finance Journal,Pacific-Basin Finance Journal,RELX Group (Netherlands),0927-538X; 1879-0585,A,2025,5.4,5.6,2025,1.322,Q1,92,6.12,2025
Auditing: A Journal of Practice and Theory,Auditing: A Journal of Practice and Theory,American Accounting Association,0278-0380; 1558-7991,A*,2025,3.7,4.1,2025,2.32,Q1,111,4.48,2025
International Journal of Auditing,International Journal of Auditing,Wiley,1090-6738; 1099-1123,A,2025,2.7,3.1,2025,0.681,Q1,42,3.19,2025
Management Science,Management Science,Institute for Operations Research and the Management Sciences,0025-1909; 1526-5501,A*,2025,5.7,7.6,2025,6.428,Q1,321,7.69,2025
Accounting Forum,Accounting Forum,Taylor & Francis,0155-9982; 1467-6303,A,2025,4.1,4.3,2025,1.087,Q1,70,5.81,2025
Journal of Contemporary Accounting and Economics,Journal of Contemporary Accounting and Economics,Elsevier BV,1815-5669; 2352-3298,A,2025,3.3,4.1,2025,0.801,Q2,46,4.18,2025
Pacific Accounting Review,Pacific Accounting Review,Emerald Publishing Limited,0114-0582; 2041-5494,B,2025,2.1,2.3,2025,0.521,Q2,40,2.84,2025
CPA Australia,CPA Australia,,,,,,,,,,,,
The Journal of Fixed Income,Journal of Fixed Income,RELX Group (Netherlands),1059-8596; 2168-8648,A,2025,,,,0.611,Q2,18,0.23,2025
The International Journal of Accounting,The International Journal of Accounting,Elsevier BV,0020-7063; 1094-4060; 1879-2251; 2213-3933,A,2025,2.2,2.4,2025,0.436,Q2,75,1.71,2025
Journal of the Association of Information Systems,Journal of the Association of Information Systems,,,,,,,,,,,,
MIS Quarterly,MIS Quarterly,MIS Quarterly,0276-7783; 2162-9730,A*,2025,7.3,11.9,2025,4.061,Q1,294,7.96,2025
Information Systems Research,Information Systems Research,Institute for Operations Research and the Management Sciences,1047-7047; 1526-5536,A*,2025,7.8,9.9,2025,5.679,Q1,203,11.02,2025
Decision Support Systems,Decision Support Systems,Elsevier BV,0167-9236; 1873-5797,A*,2025,7.5,8.2,2025,2.079,Q1,203,9.06,2025
The European Accounting Review,European Accounting Review,Routledge,0963-8180; 1468-4497,A*,2025,2.2,4.8,2025,2.272,Q1,98,6.0,2025
Journal of Accounting Auditing and Finance,"Journal of Accounting, Auditing & Finance",SAGE Publishing,0148-558X; 2160-4061,A,2025,1.3,2.1,2025,0.965,Q1,68,1.91,2025
Journal of Business Research,Journal of Business Research,Elsevier BV,0148-2963; 1873-7978,A,2025,11.1,14.0,2025,3.498,Q1,322,15.01,2025
Abacus,Abacus,Wiley,0001-3072; 1467-6281,A,2025,1.7,2.8,2025,0.762,Q2,60,3.2,2025
British Accounting Review,"British Accounting Review, Vol. 54, Issue 1, Article",Elsevier BV,0890-8389; 1095-8347,A*,2025,8.0,8.5,2025,1.705,Q1,100,8.33,2025
Accounting Auditing and Accountability Journal,"Accounting, Auditing & Accountability",Emerald Publishing Limited,0951-3574; 1368-0668; 1758-4205; 2051-3151,A*,2025,2.7,5.1,2025,1.574,Q1,136,4.12,2025
Accounting and Business Research,Accounting and Business Research,Taylor & Francis,0001-4788; 2159-4260,A,2025,2.5,3.0,2025,1.065,Q1,77,3.62,2025
Financial Accountability and Management,Financial Accountability & Management,Wiley,0267-4424; 1468-0408,A,2025,2.3,3.7,2025,1.136,Q1,58,4.33,2025
Accounting Accountability and Performance,"Accounting, Accountability & Performance",,1445-954X,C,2025,,,,,,,,
Asia Pacific Journal of Management,Asia Pacific Journal of Management,Springer Science+Business Media,0217-4561; 1572-9958,A,2025,9.7,7.5,2025,1.297,Q1,105,6.27,2025
"Public Fund Digest, Research Supplement","Public Fund Digest, Research Supplement",,,,,,,,,,,,
European Financial Management,European Financial Management,Wiley,1354-7798; 1468-036X,A,2025,4.2,4.1,2025,1.188,Q1,82,5.58,2025
Journal of Accounting and Public Policy,Journal of Accounting and Public Policy,Elsevier BV,0278-4254; 1873-2070,A*,2025,2.2,4.1,2025,0.97,Q1,104,2.74,2025
Research Policy,Research Policy,Elsevier BV,0048-7333; 1873-7625,A*,2025,8.9,11.4,2025,4.471,Q1,318,10.7,2025
Journal of Management,Journal of Management,SAGE Publishing,0149-2063; 1557-1211,A*,2025,10.0,17.0,2025,8.251,Q1,315,13.92,2025
Journal of Accounting Research,Journal of Accounting Research,Wiley,0021-8456; 1475-679X,A*,2025,10.4,10.3,2025,9.774,Q1,186,12.22,2025
Journal of Corporate Finance,Journal of Corporate Finance,Elsevier BV,0929-1199; 1872-6313,A*,2025,6.9,10.5,2025,2.706,Q1,166,7.97,2025
Strategic Management Journal,Strategic Management Journal,Wiley,0143-2095; 1097-0266,A*,2025,7.6,12.6,2025,10.154,Q1,370,10.85,2025
Journal of Accounting and Economics,Journal of Accounting and Economics,Elsevier BV,0165-4101; 1879-1980,A*,2025,7.8,10.3,2025,8.748,Q1,207,8.48,2025
Journal of Consumer Affairs,Journal of Consumer Affairs,Wiley,0022-0078; 1745-6606,A,2025,3.4,3.5,2025,1.043,Q1,83,4.28,2025
Management Accounting Research,Management Accounting Research,Elsevier BV,1044-5005; 1096-1224,A*,2025,4.5,5.6,2025,1.625,Q1,109,5.19,2025
International Journal of Management,International Journal of Management,,0813-0183,C,2025,,,,,,,,
International Journal of Corporate Governance,International Journal of Corporate Governance,Inderscience Publishers,1754-3037; 1754-3045,B,2025,,,,,,,,
International Review of Economics & Finance,International Review of Economics & Finance,Elsevier BV,1059-0560; 1873-8036,A,2025,7.6,6.8,2025,1.485,Q1,101,8.27,2025
International Journal of Managerial Finance,International Journal of Managerial Finance,Emerald Publishing Limited,1743-9132; 1758-6569,A,2025,2.7,2.7,2025,0.635,Q2,47,3.19,2025
Journal of Economic Surveys,Journal of Economic Surveys,Wiley,0950-0804; 1467-6419,A,2025,6.6,8.2,2025,2.483,Q1,131,10.65,2025
Journal of Management Information Systems,Journal of Management Information Systems,Taylor & Francis,0742-1222; 1557-928X,A*,2025,7.2,9.8,2025,3.154,Q1,189,7.15,2025
Contemporary Accounting Research,Contemporary Accounting Research,Wiley,0823-9150; 1911-3846,A*,2025,4.9,6.8,2025,3.686,Q1,141,6.37,2025
Accounting and Finance in Transition,Accounting and Finance in Transition,,,,,,,,,,,,
Journal of the Asia-pacific Centre for Environmental Accountability,Journal of the Asia-pacific Centre for Environmental Accountability,,,,,,,,,,,,
International Business and Economics Research Journal,International Business and Economics Research Journal,,,,,,,,,,,,
Asian Review of Accounting,Asian Review of Accounting,Emerald Publishing Limited,1758-8863; 1321-7348,B,2025,3.3,2.7,2025,0.556,Q2,38,4.6,2025
Journal of Financial Reporting,Journal of Financial Reporting,,2380-2154; 2380-2146,A,2025,2.4,3.4,2025,,,,,
Australian Tax Forum,Australian Tax Forum,,0812-695X,A*,2025,,,,,,,,
Blueprint for Individual Taxation Reform in a Globalized World,Blueprint for Individual Taxation Reform in a Globalized World,,,,,,,,,,,,
Australian Tax Review,Australian Tax Review,,0311-094X,A,2025,0.1,0.1,2025,,,,,
Oxford University Commonwealth Law Journal,Oxford University Commonwealth Law Journal,Taylor & Francis,1472-9342; 1757-8469,A*,2025,,,,0.106,Q4,8,0.67,2025
Australian Law Journal,Australian Law Journal,,0004-9611,A,2025,0.2,0.2,2025,,,,,
Federal Law Review,Federal Law Review,SAGE Publishing,0067-205X; 1444-6928,A*,2025,,,,0.232,Q3,10,0.9,2025
Advances in Management Accounting,Advances in Management Accounting,Emerald Publishing Limited,1474-7871,A,2025,,,,,,20,1.22,2025
Journal of Management Control,Journal of Management Control,Springer Science+Business Media,2191-4761; 2191-477X,A,2025,3.4,5.0,2025,0.922,Q1,37,4.4,2025
"Accounting and Finance, A Special Issue for Qualitative Accounting Research","Accounting and Finance, A Special Issue for Qualitative Accounting Research",,,,,,,,,,,,
Advances in Accounting Behavioral Research,Advances in Accounting Behavioral Research,Emerald Publishing Limited,1475-1488,A,2025,,,,,,15,0.44,2025
The Journal of Law and Economics,Journal of Law and Economics,University of Chicago Press,0022-2186; 1537-5285,A*,2025,1.7,2.6,2025,1.592,Q1,98,1.58,2025
Review of Accounting Studies,Review of Accounting Studies,Springer Science+Business Media,1380-6653; 1573-7136,A*,2025,5.7,9.9,2025,5.56,Q1,118,8.99,2025
ANU College of Business and Economics Press Release,ANU College of Business and Economics Press Release,,,,,,,,,,,,
Organization Science,Organization Science,Institute for Operations Research and the Management Sciences,1047-7039; 1526-5455,A*,2025,5.7,8.0,2025,7.929,Q1,308,7.93,2025
Journal of International Business Studies,Journal of International Business Studies,Palgrave Macmillan,0047-2506; 1478-6990,A*,2025,10.2,13.3,2025,4.454,Q1,254,10.07,2025
"Journal of International Financial Markets, Institutions and Money","Journal of International Financial Markets, Institutions and Money",Elsevier BV,1042-4431; 1873-0612,A,2025,6.0,5.7,2025,1.389,Q1,94,7.71,2025
China Accounting and Finance Review,China Accounting and Finance Review,,1029-807X; 2307-3055,A,2025,,,,,,2,0.0,2025
Finance Research Letters,Finance Research Letters,Elsevier BV,1544-6123; 1544-6131,A,2025,7.1,7.2,2025,1.672,Q1,143,8.17,2025
International Review of Financial Analysis,International Review of Financial Analysis,Elsevier BV,1057-5219; 1873-8079,A,2025,10.2,10.3,2025,2.373,Q1,129,11.33,2025
Emerging Markets Review,Emerging Markets Review,Elsevier BV,1566-0141; 1873-6173,A,2025,4.4,5.3,2025,1.115,Q1,83,5.16,2025
Economic Modelling,Economic Modelling,Elsevier BV,0264-9993; 1873-6122,A,2025,5.5,5.2,2025,1.348,Q1,133,6.5,2025
China Economic Times,China Economic Times,,,,,,,,,,,,
Securities Times,Securities Times,,,,,,,,,,,,
China Economic Herald,China Economic Herald,,,,,,,,,,,,
Real Estate Tax Policy in China,Real Estate Tax Policy in China,,,,,,,,,,,,
Journal of Financial Markets,Journal of Financial Markets,Elsevier BV,1386-4181; 1878-576X,A*,2025,2.5,2.5,2025,1.544,Q1,77,2.7,2025
Company and Securities Law Journal,Company and Securities Law Journal,Australian National University,0729-2775,A,2025,0.1,0.3,2025,,,,,
Accounting Research Journal,Accounting Research Journal,Emerald Publishing Limited,1030-9616; 1839-5465,B,2025,3.3,3.0,2025,0.62,Q2,37,5.11,2025
Research report from grant received from the Institute of Chartered Accountants of Scotland,Research report from grant received from the Institute of Chartered Accountants of Scotland,,,,,,,,,,,,
Journal of Applied Management Accounting Research,Journal of Applied Management Accounting Research,,,,,,,,,,,,
Canberra Law Review,Canberra Law Review,,1320-6702,C,2025,,,,,,,,
eJournal of Tax Research,The eJournal of Tax Research,,1448-2398,A,2025,0.3,0.4,2025,0.19,Q4,15,0.65,2025
Corporate Governance: an international review,Corporate Governance: An International Review,Wiley,0964-8410; 1467-8683,A,2025,5.4,7.3,2025,1.992,Q1,120,8.85,2025
Management and Organization Review,Management and Organization Review,Cambridge University Press,1740-8776; 1740-8784,A,2025,3.1,4.2,2025,1.063,Q1,82,3.34,2025
The American Economic Review,American Economic Review,American Economic Association,0002-8282; 1944-7981,A*,2025,9.5,18.5,2025,23.489,Q1,399,9.55,2025
"Financial Markets, Institutions and Instruments","Financial Markets, Institutions & Instruments",Wiley,0963-8008; 1468-0416,A,2025,,,,1.69,Q1,33,3.93,2025
Journal of Real Estate Finance and Economics,Journal of Real Estate Finance and Economics,Springer Science+Business Media,0895-5638; 1573-045X,A,2025,2.1,2.3,2025,0.882,Q1,78,3.01,2025
