journal_name,journal_raw,publisher,issn,quality_rank,abdc_edition,impact_factor,impact_factor_5yr,jcr_year,sjr,sjr_quartile,h_index,cites_per_doc_2y,scimago_year
Financial Analysts Journal,Financial Analysts Journal,Taylor & Francis,0015-198X; 1938-3312,A,2025,2.2,4.2,2025,1.425,Q1,99,2.64,2025
Scientific Reports,Scientific Reports,Nature Portfolio,2045-2322,,,4.9,4.8,2025,0.893,Q1,382,5.01,2025
Current Biology,Current Biology,Elsevier BV,0960-9822; 1879-0445,,,7.7,9.5,2025,2.897,Q1,386,4.73,2025
Neuron,Neuron,Cell Press,0896-6273; 1097-4199,,,16.9,18.2,2025,8.564,Q1,569,11.25,2025
Frontiers in Neuroscience,Frontiers in Neuroscience,Frontiers Media,1662-453X; 1662-4548,,,4.0,4.5,2025,1.068,Q2,186,3.73,2025
PLoS Computational Biology,PLoS Computational Biology,Public Library of Science,1553-7358; 1553-734X,,,3.7,4.4,2025,1.466,Q1,237,3.5,2025
Journal of Forecasting,Journal of Forecasting,Wiley,0277-6693; 1099-131X,A,2025,2.6,3.2,2025,0.665,Q2,74,3.43,2025
Economics Letters,Economics Letters,Elsevier BV,0165-1765; 1873-7374,A,2025,2.0,2.0,2025,0.718,Q2,142,2.2,2025
Annals of Actuarial Science,Annals of Actuarial Science,Cambridge University Press,1748-4995; 1748-5002,A,2025,1.0,1.5,2025,0.456,Q2,21,1.2,2025
Insurance: Mathematics & Economics,Insurance Mathematics and Economics,Elsevier BV,0167-6687; 1873-5959,A*,2025,1.8,2.2,2025,1.117,Q1,95,2.01,2025
Finance and Economics Discussion Series,Finance and Economics Discussion Series,,1936-2854; 2767-3898,,,,,,,,,,
International Journal of Forecasting,International Journal of Forecasting,Elsevier BV,0169-2070; 1872-8200,A,2025,5.7,9.0,2025,2.272,Q1,135,6.46,2025
Australian and New Zealand Journal of Statistics,Australian and New Zealand Journal of Statistics,Wiley,1369-1473; 1467-842X,A,2025,0.5,0.8,2025,0.297,Q3,49,0.41,2025
Journal of Financial Econometrics,Journal of Financial Econometrics,Oxford University Press,1479-8409; 1479-8417,A*,2025,1.8,3.1,2025,1.782,Q1,58,2.39,2025
The Review of Economics and Statistics,The Review of Economics and Statistics,The MIT Press,2573-7945; 2573-7953; 0034-6535; 1530-9142,A*,2025,7.7,8.1,2025,8.83,Q1,219,5.47,2025
Npj Science of Learning,Npj Science of Learning,Nature Portfolio,2056-7936,,,4.3,5.0,2025,1.258,Q1,40,4.71,2025
Research Policy,Research Policy,Elsevier BV,0048-7333; 1873-7625,A*,2025,8.9,11.4,2025,4.471,Q1,318,10.7,2025
"Sustainability Accounting, Management and Policy Journal",Sustainability Accounting Management and Policy Journal,Emerald Publishing Limited,2040-8021; 2040-803X,A,2025,8.8,9.0,2025,1.808,Q1,68,12.14,2025
Intheblack,Intheblack,,,,,,,,,,,,
The Institute of Chartered Accountants in Australia,The Institute of Chartered Accountants in Australia,,,,,,,,,,,,
The Asia Pacific Journal of Accounting,The Asia Pacific Journal of Accounting,Taylor & Francis,1029-3574,,,,,,,,,,
Advances in Accounting: a Research Annual,Advances in Accounting: a Research Annual,,,,,,,,,,,,
Charter -Sydney-,Charter -Sydney-,,,,,,,,,,,,
The Chartered Accountant in Australia,The Chartered Accountant in Australia,,,,,,,,,,,,
Power Transmission Design,Power Transmission Design,,,,,,,,,,,,
Array,Array,Elsevier BV,2590-0056,,,5.3,5.7,2025,1.264,Q1,33,8.14,2025
Science,Science,American Association for the Advancement of Science,0036-8075; 0193-4511; 1095-9203,,,47.3,51.6,2025,10.948,Q1,1433,16.75,2025
SCIENCE,SCIENCE,American Association for the Advancement of Science,0036-8075; 0193-4511; 1095-9203,,,47.3,51.6,2025,10.948,Q1,1433,16.75,2025
Translational Psychiatry,Translational Psychiatry,Springer Nature,2158-3188,,,7.5,7.8,2025,2.425,Q1,150,7.37,2025
Plos One,Plos One,Public Library of Science,1932-6203,,,2.8,3.3,2025,0.726,Q1,500,2.95,2025
Journal of Econometrics,Journal of Econometrics,Elsevier BV,0304-4076; 1872-6895,A*,2025,4.7,9.1,2025,6.575,Q1,205,4.85,2025
Journal of International Economics,Journal of International Economics,Elsevier BV,0022-1996; 1873-0353,A*,2025,4.6,5.6,2025,4.841,Q1,179,4.49,2025
"Journal of Money, Credit and Banking",Journal of Money Credit and Banking,Wiley,0022-2879; 1538-4616,A*,2025,1.9,2.2,2025,1.999,Q1,133,2.36,2025
Energy Conversion and Management: X,Energy Conversion and Management: X,Elsevier BV,2590-1745,,,8.8,8.9,2025,1.681,Q1,61,9.77,2025
Quadrant,Quadrant,,,,,,,,,,,,
Law and Financial Markets Review,Law and Financial Markets Review,Taylor & Francis,1752-1440; 1752-1459,B,2025,0.4,0.7,2025,0.226,Q3,13,0.95,2025
Critical Finance Review,Critical Finance Review,Now Publishers,2164-5744; 2164-5760,A*,2025,1.1,2.0,2025,6.838,Q1,17,1.6,2025
European Journal of Political Economy,European Journal of Political Economy,Elsevier BV,0176-2680; 1873-5703,A,2025,3.0,3.1,2025,1.131,Q1,108,3.42,2025
Journal of Business,Journal of Business,University of Chicago Press,0021-9398; 1537-5374,,,,,,,,,,
JOURNAL OF BUSINESS,JOURNAL OF BUSINESS,University of Chicago Press,0021-9398; 1537-5374,,,,,,,,,,
Journal of Economics & Management Strategy,Journal of Economics Management Strategy,Wiley,1058-6407; 1430-9134; 1530-9134,A,2025,2.1,1.9,2025,1.506,Q1,85,2.89,2025
Journal of Labor Economics,JOURNAL OF LABOR ECONOMICS,University of Chicago Press,0734-306X; 1537-5307,A*,2025,4.5,6.1,2025,6.774,Q1,143,4.59,2025
Journal of the Japanese and International Economies,Journal of The Japanese and International Economies,Elsevier BV,0889-1583; 1095-8681,A,2025,2.6,2.7,2025,0.893,Q1,54,3.07,2025
Public Choice,Public Choice,Springer Science+Business Media,0048-5829; 1573-7101; 1941-9716,A,2025,2.4,2.3,2025,1.107,Q1,103,2.78,2025
Economic Papers: a journal of applied economics and policy,Economic Papers,Wiley,0812-0439; 1759-3441,B,2025,1.0,1.0,2025,0.304,Q2,28,1.2,2025
POPULATION INDEX,POPULATION INDEX,Office of Population Research,0032-4701; 2325-7636,,,,,,,,,,
Journal of Public Economics,Journal of Public Economics,Elsevier BV,0047-2727; 1879-2316,A*,2025,3.2,5.5,2025,3.601,Q1,192,3.48,2025
Econometrica,Econometrica,Wiley,0012-9682; 1468-0262,A*,2025,6.2,9.4,2025,19.935,Q1,242,5.94,2025
Journal of Political Economy,Journal of Political Economy,University of Chicago Press,0022-3808; 1537-534X,A*,2025,6.4,11.2,2025,16.25,Q1,235,6.7,2025
The Review of Economic Studies,Review of Economic Studies,Oxford University Press,0034-6527; 1467-937X,A*,2025,9.7,10.1,2025,23.622,Q1,184,11.42,2025
The Quarterly Journal of Economics,Quarterly Journal of Economics,Oxford University Press,0033-5533; 1531-4650,A*,2025,13.1,20.9,2025,33.069,Q1,336,17.3,2025
BELL JOURNAL OF ECONOMICS AND MANAGEMENT SCIENCE,BELL JOURNAL OF ECONOMICS AND MANAGEMENT SCIENCE,,0005-8556; 2325-5323,,,,,,,,,,
The American Economic Review,The American Economic Review,,0002-8282; 0065-812X,A*,2025,9.5,18.5,2025,23.489,Q1,399,9.55,2025
Australian Economic Papers,AUSTRALIAN ECONOMIC PAPERS,Wiley,0004-900X; 1467-8454,B,2025,1.3,1.3,2025,0.368,Q2,26,1.48,2025
Meditari Accountancy Research,Meditari Accountancy Research,Emerald Publishing Limited,1022-2529; 2049-372X; 2049-3738,A,2025,3.8,5.4,2025,0.974,Q1,59,5.94,2025
LawAsia Journal,LawAsia Journal,,,,,,,,,,,,
Northwestern Journal of International Law & Business,Northwestern Journal of International Law & Business,,0196-3228,B,2025,0.6,0.7,2025,0.156,Q3,11,0.48,2025
The Development of Franchising in China,The Development of Franchising in China,2006 International Society of Franchising Conference,,,,,,,,,,,
Journal of Marketing Channels,Journal of Marketing Channels,Taylor & Francis,1046-669X; 1540-7039,,,,,,,,,,
Regulatory Reforms to Encourage the Development of Franchising in Vietnam,Regulatory Reforms to Encourage the Development of Franchising in Vietnam,,,,,,,,,,,,
Australia and New Zealand Franchising,Australia and New Zealand Franchising,,,,,,,,,,,,
Franchise New Zealand,Franchise New Zealand,,,,,,,,,,,,
The Franchise Review,The Franchise Review,,,,,,,,,,,,
The PWC Excellence in Franchising Award,The PWC Excellence in Franchising Award,,,,,,,,,,,,
Australian and New Zealand Franchising,Australian and New Zealand Franchising,,,,,,,,,,,,
"Franchising, Relational Contracts and the Vibe","Franchising, Relational Contracts and the Vibe",,,,,,,,,,,,
2005 Australia/NZ Franchising Yearbook and Directory,2005 Australia/NZ Franchising Yearbook and Directory,,,,,,,,,,,,
Journal of Small Business Strategy,Journal of Small Business Strategy,,1081-8510; 2380-1751,C,2025,,,,0.555,Q2,27,3.32,2025
Singapore Law Gazette,Singapore Law Gazette,,,,,,,,,,,,
Yuridika,Yuridika,,,,,,,,,,,,
Chief Executive China,Chief Executive China,,,,,,,,,,,,
Franchising Research: An International Journal,Franchising Research: An International Journal,,,,,,,,,,,,
Computational Statistics and Data Analysis,Computational Statistics and Data Analysis,Elsevier BV,0167-9473; 1872-7352,A,2025,1.7,2.1,2025,0.926,Q1,145,1.87,2025
IEEE Transactions on Evolutionary Computation,IEEE Transactions on Evolutionary Computation,Institute of Electrical and Electronics Engineers,1089-778X; 1941-0026,,,15.9,16.0,2025,3.045,Q1,229,15.21,2025
Computational Economics,Computational Economics,Springer Science+Business Media,0927-7099; 1572-9974,B,2025,2.1,2.3,2025,0.459,Q2,56,3.12,2025
Journal of Public Economic Theory,Journal of Public Economic Theory,Wiley,1097-3923; 1467-9779,A,2025,0.9,0.8,2025,0.386,Q2,38,0.94,2025
Global Health Economics and Sustainability,Global Health Economics and Sustainability,,2972-4570; 3060-8546,,,,,,,,,,
Journal of Economic Development,Journal of Economic Development,,0254-8372,C,2025,,,,0.156,Q4,12,0.45,2025
Fulbright Review of Economics and Policy,Fulbright Review of Economics and Policy,Emerald Publishing Limited,2635-0173; 2635-0181,,,,,,,,,,
Journal of Tax Administration,Journal of Tax Administration,,2059-190X,B,2025,0.5,0.3,2025,,,,,
Foreign Trade Review,Foreign Trade Review,,0015-7325; 0971-7625,B,2025,1.2,1.2,2025,0.349,Q2,18,1.83,2025
New Zealand Journal of Taxation Law and Policy,New Zealand Journal of Taxation Law and Policy,,1322-4417,A,2025,,,,,,,,
S Afr Med J,S Afr Med J,Health and Medical Publishing Group,0256-9574; 2078-5135,,,1.4,1.4,2025,0.371,Q3,70,0.89,2025
New Zealand Journal of Tax Law and Policy,New Zealand Journal of Tax Law and Policy,,,,,,,,,,,,
Educational Research for Policy and Practice,Educational Research for Policy and Practice,Springer Science+Business Media,1570-2081; 1573-1723,,,1.2,1.8,2025,0.567,Q2,32,2.65,2025
Empirical Economics,"Empirical Economics: a quarterly journal of the Institute for Advanced Studies, Vienna",Springer Science+Business Media,0377-7332; 1435-8921,A,2025,1.9,3.1,2025,0.617,Q1,78,2.28,2025
Advances in Taxation,Advances in Taxation,,1058-7497,B,2025,,,,,,12,0.27,2025
International VAT Monitor,International VAT Monitor,IBFD,0925-0832; 2352-9210,B,2025,,,,0.137,Q4,3,0.11,2025
Economic Analysis and Policy,Economic Analysis and Policy,Elsevier BV,0313-5926; 2204-2296,A,2025,9.0,8.3,2025,1.966,Q1,86,10.58,2025
Journal of Economics and Development,Journal of Economics and Development,Emerald Publishing Limited,1859-0020; 2632-5330,C,2025,4.8,,2025,0.81,Q1,27,5.72,2025
Research in Economics,Research in Economics,Elsevier BV,0035-5054; 1090-9443; 1090-9451; 1096-1143,B,2025,1.1,1.3,2025,0.384,Q3,38,1.36,2025
Journal of Emerging Market Finance,Journal of Emerging Market Finance,SAGE Publishing,0972-6527; 0973-0710,B,2025,2.0,1.9,2025,0.426,Q3,26,2.79,2025
Accounting History,Accounting History,SAGE Publishing,1032-3732; 1749-3374,A,2025,1.2,1.3,2025,0.404,Q1,36,1.0,2025
Bulletin of Indonesian Economic Studies,Bulletin of Indonesian Economic Studies,Taylor & Francis,0007-4918; 1472-7234,B,2025,3.4,3.2,2025,1.107,Q1,45,4.35,2025
Bulletin for International Taxation,Bulletin for International Taxation,,1819-5490; 2352-9202,B,2025,,,,0.38,Q2,7,0.2,2025
International Journal of Development and Conflict,International Journal of Development and Conflict,World Scientific,2010-2690; 2010-2704,B,2025,,,,0.252,Q3,7,1.54,2025
"Crime, Law and Social Change",Crime Law and Social Change,Springer Science+Business Media,0378-1100; 0925-4994; 1573-0751; 1875-3701,B,2025,1.6,1.6,2025,0.412,Q2,63,2.06,2025
Journal of Business and Economic Policy,Journal of Business and Economic Policy,,,,,,,,,,,,
Fiscal Studies,Fiscal Studies,Wiley,0143-5671; 1475-5890,B,2025,1.3,2.7,2025,0.542,Q2,54,1.3,2025
Journal of Economic Surveys,Journal of Economic Surveys,Wiley,0950-0804; 1467-6419,A,2025,6.6,8.2,2025,2.483,Q1,131,10.65,2025
Global Journal of Economics,Global Journal of Economics,World Scientific,2251-3612; 2251-3620,,,,,,,,,,
Journal of Judicial Administration,Journal of Judicial Administration,,,,,,,,,,,,
Review of International Economics,Review of International Economics,Wiley,0965-7576; 1467-9396,A,2025,1.8,1.7,2025,0.682,Q1,75,2.11,2025
International Journal of Business Policy and Economics,International Journal of Business Policy and Economics,,,,,,,,,,,,
Vietnamese Review of Studies and Discussions,Vietnamese Review of Studies and Discussions,,,,,,,,,,,,
International Journal of Economic Research,International Journal of Economic Research,,,,,,,,,,,,
Saigon Economic Times,Saigon Economic Times,,,,,,,,,,,,
Review of Development Economics,Review of Development Economics,Wiley,1363-6669; 1467-9361,A,2025,2.4,2.4,2025,0.699,Q1,69,3.42,2025
Asian Analysis,Asian Analysis,,,,,,,,,,,,
American Journal of Applied Sciences,American Journal of Applied Sciences,,,,,,,,,,,,
New Age Journal,New Age Journal,,,,,,,,,,,,
Encyclopaedia Britannica,Encyclopaedia Britannica,,,,,,,,,,,,
International Journal of Economic Development,International Journal of Economic Development,,,,,,,,,,,,
National Tax Journal,National Tax Journal,University of Chicago Press,0028-0283; 1944-7477,A,2025,1.0,1.7,2025,1.232,Q1,72,1.06,2025
Journal of the Asia Pacific Economy,Journal of the Asia Pacific Economy,Routledge,1354-7860; 1469-9648,B,2025,1.5,1.9,2025,0.478,Q2,45,2.67,2025
British Tax Review Journal,British Tax Review Journal,,,,,,,,,,,,
Journal of Economic and Business Administration,Journal of Economic and Business Administration,,,,,,,,,,,,
Journal of Economics,Journal of Economics,Springer Science+Business Media,0931-8658; 1617-7134,B,2025,1.7,1.6,2025,0.31,Q3,40,1.03,2025
Oxford Economic Papers,Oxford Economic Papers,Oxford University Press,0030-7653; 1464-3812,A,2025,2.8,2.1,2025,0.846,Q2,84,2.71,2025
Journal of Development Economics,Journal of Development Economics,Elsevier BV,0304-3878; 1872-6089,A*,2025,5.0,7.1,2025,3.381,Q1,196,5.7,2025
Family Business Review,Family Business Review,SAGE Publishing,0894-4865; 1741-6248,A,2025,7.7,10.5,2025,2.853,Q1,140,8.09,2025
Monash Business Review,Monash Business Review,Monash University,1832-8490; 1833-4091,,,,,,,,,,
China Accounting and Finance Review,China Accounting and Finance Review,,1029-807X; 2307-3055,A,2025,,,,,,2,0.0,2025
Journal of Applied Psychology,Journal of Applied Psychology,American Psychological Association,0021-9010; 1939-1854,A*,2025,6.7,11.1,2025,5.473,Q1,371,7.27,2025
International Journal of Accounting Education and Research,International Journal of Accounting Education and Research,,,,,,,,,,,,
Australian Accounting Research Foundation,Australian Accounting Research Foundation,,,,,,,,,,,,
Australian Taxation Review,Australian Taxation Review,,,,,,,,,,,,
International & Comparative Law Quarterly,International and Comparative Law Quarterly,Cambridge University Press,0020-5893; 1471-6895,A*,2025,2.3,2.4,2025,0.928,Q1,70,2.6,2025
GST Newsletter,GST Newsletter,,,,,,,,,,,,
Tax Week,Tax Week,,,,,,,,,,,,
Australian Capital Gains Tax Planner,Australian Capital Gains Tax Planner,,,,,,,,,,,,
International Journal of Law and Information Technology,International Journal of Law and Information Technology,,0967-0769; 1464-3693,A,2025,2.9,2.6,2025,0.848,Q1,28,3.97,2025
Australian Financial Review,Australian Financial Review,,,,,,,,,,,,
"Journal of Information, Law and Technology","Journal of Information, Law and Technology",,,,,,,,,,,,
Retirement and Estate Planning,Retirement and Estate Planning,,,,,,,,,,,,
Tax Week: CCH Federal and State Tax News,Tax Week: CCH Federal and State Tax News,,,,,,,,,,,,
Policy,Policy,,,,,,,,,,,,
Australian Lawyer,Australian Lawyer,,,,,,,,,,,,
South African Law Journal,South African Law Journal,,,,,,,,,,,,
Tax Watch,Tax Watch,,,,,,,,,,,,
The Australian,The Australian,,,,,,,,,,,,
ION Meeting Proceedings,ION Meeting Proceedings,,1815-199X,,,,,,,,,,
DICE Report,DICE Report,,,,,,,,,,,,
Natsem Online Discussion Paper,Natsem Online Discussion Paper,,,,,,,,,,,,
Korean Journal of Taxation Research,Korean Journal of Taxation Research,,,,,,,,,,,,
UNIKEN,UNIKEN,,,,,,,,,,,,
Australian Chief Executive,Australian Chief Executive,,,,,,,,,,,,
Insight - Non-Destructive Testing and Condition Monitoring,Insight - Non-Destructive Testing and Condition Monitoring,,,,,,,,,,,,
Australian CPA,Australian CPA,,,,,,,,,,,,
Agenda: a journal of policy analysis and reform,Agenda: A Journal of Policy Analysis and Reform,ANU Press,1322-1833; 1447-4735,B,2025,,,,,,,,
Economic Papers,Economic Papers,,,,,,,,,,,,
Investment and Taxation Bulletin,Investment and Taxation Bulletin,,,,,,,,,,,,
The Weekend Australian,The Weekend Australian,,,,,,,,,,,,
GST and Indirect Taxation Bulletin,GST and Indirect Taxation Bulletin,,,,,,,,,,,,
Asia-Pacific Tax Bulletin,Asia Pacific tax bulletin,,1385-3082,C,2025,,,,,,,,
Vat in the Digital Era Unilateral and Multilateral Options for Reform,Vat in the Digital Era Unilateral and Multilateral Options for Reform,,,,,,,,,,,,
Singapore Journal of Legal Studies,Singapore Journal of Legal Studies,,0218-2173,A,2025,,,,0.119,Q4,10,0.29,2025
Australian Journal of Asian Law,Australian Journal of Asian Law,,1443-0738,C,2025,,,,0.138,Q4,9,0.46,2025
Peking University Journal on Economic Law,Peking University Journal on Economic Law,,,,,,,,,,,,
The Chinese Economy: translation and studies,The Chinese Economy,Taylor & Francis,1097-1475; 1558-0954,B,2025,0.8,1.7,2025,0.347,Q2,26,1.8,2025
International Taxation in China,International Taxation in China,,,,,,,,,,,,
World Journal of VAT/GST,World Journal of VAT/GST Law,Taylor & Francis,2048-8432; 2048-8440,C,2025,,,,,,,,
Journal of Environmental Law,Journal of Environmental Law,Oxford University Press,0952-8873; 1464-374X,B,2025,2.6,2.6,2025,1.105,Q1,45,2.58,2025
Fordham Environmental Law Review,Fordham Environmental Law Review,,,,,,,,,,,,
Hong Kong Law Journal,Hong Kong Law Journal,,0378-0600,A,2025,0.2,0.4,2025,,,,,
Journal of Macau Studies,Journal of Macau Studies,,,,,,,,,,,,
Physica A Statistical Mechanics and Its Applications,Physica A Statistical Mechanics and Its Applications,Elsevier BV,0378-4371; 1873-2119,,,3.3,2.9,2025,0.647,Q2,202,3.59,2025
The Journal of Portfolio Management,Journal of Portfolio Management,Euromoney Institutional Investor,0095-4918; 2168-8656,A,2025,1.0,1.3,2025,0.449,Q2,67,1.05,2025
The Journal of Derivatives,Journal of Derivatives,,1074-1240; 2168-8524,A,2025,0.2,0.5,2025,0.281,Q3,53,0.19,2025
Land Economics,Land Economics,University of Wisconsin Press,0023-7639; 1543-8325,A,2025,1.9,2.0,2025,0.771,Q2,106,1.76,2025
Journal of Management Science and Engineering,Journal of Management Science and Engineering,Elsevier BV,2096-2320; 2589-5532,,,3.5,5.0,2025,0.773,Q1,29,3.45,2025
The North American Journal of Economics and Finance,North American Journal of Economics and Finance,Elsevier BV,1062-9408; 1879-0860,B,2025,3.8,3.6,2025,0.812,Q2,73,4.69,2025
