researcher_name,researcher_profile_url,university,field_of_research,title,journal_name,year,publication_type,doi,article_url,coauthors,volume,pages,publisher,abdc_self_reported,citation_percentile,source
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,Does Self-certification Encourage or Reduce Escalation of Commitment?,Behavioral Research in Accounting,2016,Journal articles,10.2308/bria-51468,http://dx.doi.org/10.2308/bria-51468,Ang N; Cheng M,28,pp. 1 - 16,,,,UNSW staff profile
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,The Utilization of Quantitative and Qualitative Information in Groups' Capital Investment Decisions,Behavioral Research in Accounting,2015,Journal articles,10.2308/bria-50917,http://dx.doi.org/10.2308/bria-50917,Ang NP; Trotman KT,27,pp. 1 - 24,,,,UNSW staff profile
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,Fifty-year Overview of Judgment and Decision-making Research in Accounting.,Accounting and Finance,2011,Journal articles,10.1111/j.1467-629X.2010.00398.x,http://dx.doi.org/10.1111/j.1467-629X.2010.00398.x,Trotman KT; Ang N; Tan HC,51,pp. 278 - 360,,,,UNSW staff profile
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,The incentives of Australian public companies lobbying against proposed superannuation accounting standards,ABACUS,2000,Journal articles,10.1111/1467-6281.00053,http://dx.doi.org/10.1111/1467-6281.00053,Ang N; Gallery G; Sidhu BK,36,pp. 40 - 70,,,,UNSW staff profile
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,The value relevance of superannuation disclosures by Australian-listed firms sponsoring defined benefit plans,Accounting and Finance,1999,Journal articles,10.1111/1467-629X.00024,http://dx.doi.org/10.1111/1467-629X.00024,Ang NP; Gallery G; Sidhu BK,39,pp. 205 - 228,,,,UNSW staff profile
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,Honesty in Managerial Reporting: The Impact of An Enabling Management Control System and Informal Cost Targets,Honesty in Managerial Reporting: The Impact of An Enabling Management Control System and Informal Cost Targets,2015,Conference Papers,,,Izani R; Cheng M; Ang NP,,,Accounting and Finance Association of Australia and New Zealand,,,UNSW staff profile
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,Do Informal Controls Encourage or Reduce Escalation of Commitment? The Effect of Self-certification on Capital Investment Decisions,"""Do Informal Controls Encourage or Reduce Escalation of Commitment? The Effect of Self-certification on Capital Investment Decisions""",2011,Conference Papers,,,Ang N; Cheng M,,,Accounting Behavior and Organizations conference,,,UNSW staff profile
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,The Utilisation of Quantitative Information in Groups' Capital Investment Decisions,,2009,Conference Papers,,,Ang N; Trotman KT,,,,,,UNSW staff profile
Nicole Ang,https://www.unsw.edu.au/staff/nicole-ang,UNSW Sydney,Accounting,The utilisation of Quantitative Information in Groups' capital investment decisions,,2009,Theses / Dissertations,,,Ang NP,,,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,An alternative valuation of energy options for atypical markets,Handbook of Energy Finance Theories Practices and Simulations,2020,Book Chapters,10.1142/9789813278387_0024,http://dx.doi.org/10.1142/9789813278387_0024,Carmichael DG; Balatbat MCA,,pp. 579 - 594,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,An Alternative Valuation of Energy Options for Atypical Markets,"Handbook of Energy Finance: Theories, Practices and Simulations",2019,Book Chapters,10.1142/11213,http://dx.doi.org/10.1142/11213,Carmichael DG; Balatbat MCA,,,World Scientific Publishing,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Management efficiency performance of construction businesses: Australian data,Built Environment and Property Management - A Focus on Australia,2015,Book Chapters,10.1108/09699981111111120,http://dx.doi.org/10.1108/09699981111111120,Balatbat MCA; Lin C-Y; Carmichael DG,,pp. 21 - 42,Emerald Group Publishing Limited,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Towards Credible GHG Reporting: The Role of GHG Assurance and Assurance Providers in Firm Valuation,Abacus,2026,Journal articles,10.1111/abac.70033,http://dx.doi.org/10.1111/abac.70033,Bose S; Balatbat M; Green W,,,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The financial additionality and viability of CDM projects allowing for uncertainty,"Environment, Development and Sustainability",2016,Journal articles,10.1007/s10668-015-9630-5,http://dx.doi.org/10.1007/s10668-015-9630-5,Carmichael DG; Lea KA; Balatbat MCA,18,pp. 129 - 141,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,A proposed framework for assessing the sustainability of infrastructure,International Journal of Construction Management,2016,Journal articles,10.1080/15623599.2016.1146115,http://dx.doi.org/10.1080/15623599.2016.1146115,Siew RYJ; Balatbat MCA; Carmichael DG,16,pp. 281 - 298,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Measuring project sustainability maturity level - A fuzzy-based approach,International Journal of Sustainable Development,2016,Journal articles,10.1504/IJSD.2016.073680,http://dx.doi.org/10.1504/IJSD.2016.073680,Siew RYJ; Balatbat MCA; Carmichael DG,19,pp. 76 - 100,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The impact of ESG disclosures and institutional ownership on market information asymmetry,Asia-Pacific Journal of Accounting and Economics,2016,Journal articles,10.1080/16081625.2016.1170100,http://dx.doi.org/10.1080/16081625.2016.1170100,Siew RYJ; Balatbat MCA; Carmichael DG,23,pp. 432 - 448,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Improving the attractiveness of CDM projects through allowing and incorporating options,Energy Policy,2015,Journal articles,10.1016/j.enpol.2015.08.024,http://dx.doi.org/10.1016/j.enpol.2015.08.024,Carmichael DG; Ballouz JJ; Balatbat MCA,86,pp. 784 - 791,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The impact of litigation risk on the strategic timing of management earnings forecasts,Accounting and Finance,2015,Journal articles,10.1111/acfi.12065,http://dx.doi.org/10.1111/acfi.12065,Jackson AB; Gallery G; Balatbat MCA,55,pp. 467 - 495,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,A Review of Building/Infrastructure Sustainability Reporting Tools (SRTs),Smart and Sustainable Built Environment,2013,Journal articles,10.1108/SASBE-03-2013-0010,http://dx.doi.org/10.1108/SASBE-03-2013-0010,Siew RYJ; Balatbat MCA; Carmichael DG,2,pp. 106 - 139,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The Relationship between Sustainability Practices and Financial Performance of Construction Companies,Smart and Sustainable Built Environment,2013,Journal articles,10.1108/20466091311325827,http://dx.doi.org/10.1108/20466091311325827,Siew RYJ; Balatbat MCA; Carmichael DG,2,pp. 6 - 27,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Does consideration matter to China’s split share structure reform?,Accounting and Finance,2012,Journal articles,10.1111/j.1467-629X.2011.00400.x,http://dx.doi.org/10.1111/j.1467-629X.2011.00400.x,Balatbat MC; Czernkowski R; Lu F,52,pp. 439 - 466,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Performance Risk Associated with Renewable Energy CDM Projects,Journal of Management in Engineering,2012,Journal articles,10.1061/(ASCE)ME.1943-5479.0000090,http://dx.doi.org/10.1061/(ASCE)ME.1943-5479.0000090,Balatbat MC; Findlay E; Carmichael DG,28,pp. 51 - 58,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Management Efficiency Performance of Construction Businesses – Australian Data,"Engineering, Construction and Architectural Management",2011,Journal articles,10.1108/09699981111111120,http://dx.doi.org/10.1108/09699981111111120,Balatbat MCA; Lin C; Carmichael DG,18,pp. 140 - 158,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,On the Analysis of Property Unit Sales over Time,International Journal of Strategic Property Management,2011,Journal articles,10.3846/1648715X.2011.631765,http://dx.doi.org/10.3846/1648715X.2011.631765,Carmichael DG; Balatbat MCA,15,pp. 329 - 339,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Australian Construction Growth Ratios: Industry and Company Analyses,The International Journal of Construction Management,2010,Journal articles,10.1080/15623599.2010.10773153,http://dx.doi.org/10.1080/15623599.2010.10773153,Balatbat MCA; Lin C; Carmichael DG,10,pp. 23 - 43,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Comparative Performance of Publicly Listed Construction Companies: Australian Evidence,Construction Management and Economics,2010,Journal articles,10.1080/01446193.2010.501805,http://dx.doi.org/10.1080/01446193.2010.501805,Balatbat MCA; Lin C; Carmichael DG,28,pp. 919 - 932,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,A Contractor's Analysis of the Likelihood of Payment of Claims,Journal of Financial management of property and construction,2010,Journal articles,10.1108/13664381011063412,http://dx.doi.org/10.1108/13664381011063412,Carmichael DG; Balatbat MCA,15,pp. 102 - 117,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,A Review and Study of Project Investment Cash Flow Correlations,International Journal of Project Planning and Finance,2010,Journal articles,,http://www.cidighana.org/pages/index.php?siteid=cidighana&page=current-issue,Carmichael DG; Balatbat MCA,1,pp. 1 - 21,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,A Study of Correlation Aspects in Probabilistic NPV Analysis,The Engineering Economist,2010,Journal articles,10.1080/0013791x.2010.481185,http://dx.doi.org/10.1080/0013791x.2010.481185,Johar K; Carmichael DG; Balatbat MCA,55,pp. 181 - 199,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Use of proceeds disclosures in IPO prospectuses:  do issuers come clean?,JASSA - Journal of the Securities Institute of Australia,2008,Journal articles,,,Balatbat MC; Bertinshaw ST,2,pp. 17 - 21,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Probabilistic DCF Analysis and Capital Budgeting and Investment - A Survey,The Engineering Economist,2008,Journal articles,10.1080/00137910701864809,http://dx.doi.org/10.1080/00137910701864809,Carmichael DG; Balatbat MC,53,pp. 84 - 102,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The Influence of extra projects on overall investment feasibility,Journal of Financial Management of Property and Construction,2008,Journal articles,10.1108/13664380810913403,http://dx.doi.org/10.1108/13664380810913403,Carmichael DG; Balatbat MCA,13,pp. 161 - 174,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Discussion of explaining the short- and long-term IPO anomalies in the US by R&D,Journal of Business Finance and Accounting,2006,Journal articles,10.1111/j.1468-5957.2006.00610.x,http://dx.doi.org/10.1111/j.1468-5957.2006.00610.x,Balatbat MC,33,pp. 580 - 586,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Discussion of Explaining the Short- and Long-Term IPO Anomalies in the US by R&D,"Journal of Business Finance <html_ent glyph=""@amp;"" ascii=""&amp;""/> Accounting",2006,Journal articles,10.1111/j.1468-5957.2006.00021.x,http://dx.doi.org/10.1111/j.1468-5957.2006.00021.x,Balatbat MCA,,pp. 060428035417005 - 060428035417005,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,"Corporate Governance, Insider Ownership and Operating Performance of Australian Initial Public Offerings",Accounting and Finance,2004,Journal articles,10.1111/j.1467-629X.2004.00114.x,http://dx.doi.org/10.1111/j.1467-629X.2004.00114.x,Balatbat MC; Taylor SL; Walter TS,44,pp. 299 - 328,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Finance & Investment Rapid Review: Identification and measurement of circular assets and risks for the finance and investment sector in the transition to a circular economy,,2022,Reports,10.26190/unsworks/28471,http://dx.doi.org/10.26190/unsworks/28471,Kobelentz K; Balatbat M; Nagrath K; Hunt P; Blair J; Nakagawa-Lagisz M,,,"Collaboration on Energy and Environmental Markets (CEEM), UNSW Sydney.",,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,International best practice on financing models for low carbon / energy efficient buildings – rapid systematic overview of evidence,,2019,Reports,10.25916/27zp-z550,http://dx.doi.org/10.25916/27zp-z550,Twomey P; Nakagawa-Lagisz M; Balatbat M,,,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The use of Environmentally Extended Input and Output Analysis to measure and evaluate the carbon and employment footprint of an equity investment,,2018,Conference Papers,10.26190/unsworks/26819,http://dx.doi.org/10.26190/unsworks/26819,Chard G; Balatbat M; Wiedmann T,,,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Reconciling Accounting and Engineering Reporting for Infrastructure Projects,,2016,Conference Presentations,,,Balatbat MCA; Lee K; Carmichael DG,,,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Emissions Management of Urban Earthmoving Fleets,"Fifth International Conference on Engineering, Project, and Production Management",2014,Conference Papers,,,Carmichael DG; Lea LO; Balatbat MCA,,pp. 262 - 271,Nelson Mandela Metropolitan University,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Carbon Abatement and Its Cost in Construction Activities,Construction Research Congress 2014,2014,Conference Papers,10.1061/9780784413517.055,http://dx.doi.org/10.1061/9780784413517.055,Carmichael DG; Malcolm CJ; Balatbat MCA,,pp. 534 - 543,American Society of Civil Engineers,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Carbon Abatement and its Cost in Construction Activities,Proceedings of the 2014 Construction Research Congress,2014,Conference Papers,10.1061/9780784413517,http://dx.doi.org/10.1061/9780784413517,Carmichael DG; Malcolm CJ; Balatbat MCA,,pp. 534 - 543,American Society of Civil Engineers,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Did the evolution of accounting standards in China improve earnings quality?,"American Accounting Association, International Accounting Section",2013,Conference Papers,,https://aaahq.org/international/midyearmeetings/2013/program.cfm,Balatbat MC; Jackson A; Lu F,,,American Accounting Association,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Accounting for Carbon Allowances,,2013,Conference Presentations,,,Balatbat MC,,,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Financial Reporting Implications of a Carbon Price in Australia and International Developments,,2013,Conference Presentations,,,Balatbat MC,,,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,A review of building/infrastructure sustainability reporting tools (SRTs).,A review of building/infrastructure sustainability reporting tools (SRTs).,2013,Conference Papers,,,Balatbat MCA; Siew RYJ; Carmichael DG,,,American Accounting Association,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Valuing Flexibility In Infrastructure,Proceedings of the New Developments in Structural Engineering and Construction,2013,Conference Papers,10.3850/978-981-07-5354-2_i-15-500,http://dx.doi.org/10.3850/978-981-07-5354-2_i-15-500,Carmichael DG; Balatbat MCA,,pp. 1585 - 1590,Research Publishing Services,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Valuing flexibility in infrastructure,ISEC 2013 - 7th International Structural Engineering and Construction Conference: New Developments in Structural Engineering and Construction,2013,Conference Papers,10.3850/978-981-07-5354-2-I-15-500,http://dx.doi.org/10.3850/978-981-07-5354-2-I-15-500,Carmichael DG; Balatbat MCA,,pp. 1585 - 1590,Research Publishing Services,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Value Relevance of Greenhouse Gas (GHG) Emissions Disclosures on Stock Market Performance: an International Study,European Accounting Association 2013 Annual Congress,2013,Conference Papers,,http://www.eaa2013.org/r/default.asp?sCode=LOGIN&item=CF&association_id=2,Wong LK; Balatbat M; Khoo LM,,,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,ESG Score and its Influence on Firm Performance: Australian Evidence,Programme & Proceedings 35th Annual Congress of the European Accounting Association,2012,Conference Papers,,http://www.eaa2012.org/eaacf/ProgramAndCollectedAbstracts.pdf,Balatbat MC; Siew RYJ; Carmichael DG,,,35th Annual Congress of the European Accounting Association,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The Strategic Timing of Management Earnings Forecasts,Accounting and Finance Association Australia and New Zealand Papers and Proceedings,2011,Conference Papers,,http://www.afaanz.org/openconf/2011/modules/request.php?module=oc_proceedings&action=view.php&a=Accept%20as%20Paper&id=237,Balatbat MC; Jackson AB; Gallery G,,,Accounting and Finance Association Australia and New Zealand,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,"Impact of environmental, social and governance (ESG) disclosures on firm performance",Dynamics of Investing Responsibly Research Forum program & proceedings,2011,Conference Papers,,http://www.academic.unpri.org/images/stories/pdfs/usyd-2011/papers/Maria_Balabat_Paper.pdf,Siew RYJ; Balatbat MCA; Carmichael DG,,,University of Sydney Business School,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Tree Form Classification of Owner Payment Behaviour,Fourth International Conference on Construction Engineering and Project Management,2011,Conference Papers,,,Tran H; Carmichael DG; Balatbat MCA,,pp. S15.3/1 - S15.3/8,The University of New South Wales/ICCEPM,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,An empirical study of IPO underpricing in China after the split share structure reform,,2009,Conference Papers,,,Balatbat MC; Lu F,,,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Sustainability on Construction Projects as a Business Opportunity,"SSEE 2009 International Conference, Solutions for a Sustainable Planet, Society for Sustainability and Environmental Engineering",2009,Conference Papers,,,Carmichael DG; Balatbat MCA,,,Engineers Australia,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The Incorporation of Uncertainty Associated with Climate Change into Investment Appraisal,"APES2009, Asia Pacific Expert Seminar – Managing Projects, Programs and Ventures in Times of Uncertainty and Disruptive Change",2009,Conference Papers,,,Carmichael DG; Balatbat MCA,,,Asia Pacific International College,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The reform of split share structure in China and its effects on the capital market: An empirical study,Program & Proceedings - Accounting & Finance Association of Australia Conference 2008,2008,Conference Papers,,,Balatbat MC; Lu F; Czernkowski RM,,,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Cash Flow Correlation Approximations in Capital Budgeting,Programme & Proceedings - 20th Asian Pacific Conference on International Accounting Issues,2008,Conference Papers,,,Balatbat MCA; Carmichael DG,,,20th Asian Pacific Conference on International Accounting Issues,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Gain and Risk in Sustainable-style Investments,"Program and Proceedings - 6th Symposium on Accountability, Governance and Performance: meeting Sustainability",2008,Conference Papers,,,Balatbat MCA; Carmichael DG,,,Griffith University Centre for Organisational Governance and Performance Measurement,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Sensitivity to one or more investments in DCF analysis with uncertainty.,Program & Proceedings - Accounting & Finance Association of Australia Conference 2008,2008,Conference Papers,,,Balatbat MCA; Carmichael DG,,,Accounting and Finance Association of Australia and New Zealand (AFAANZ),,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The extension of probabilistic DCF analysis to multiple project investments,Programme & Proceedings American Accounting Association Conference 2008,2008,Conference Papers,,,Balatbat MCA; Carmichael DG,,,American Accounting Association (AAA),,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The Impact of Disclosures by Biotechnology Firms on the Capital Markets.,19th Asian-Pacific Conference on International Accounting Issues,2007,Conference Papers,,,Balatbat MC; Feigin B,,,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,An alternative to earned value reporting on project performance,,2007,Conference Papers,,,Balatbat MC,,,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Coming Clean ¿ The impact of disclosures by Biotechnology firms on the capital market,Proceedings of the AFAANZ Annual Conference,2007,Conference Papers,,,Balatbat MC,,,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The Strategic Timing of Management Earnings Forecasts,,,Preprints,10.2139/ssrn.1827188,http://dx.doi.org/10.2139/ssrn.1827188,Balatbat MCA; Gallery GT; Jackson AB,,,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Towards Credible GHG Reporting: The Role of GHG Assurance and Assurance Providers in Firm Valuation,,,Preprints,10.2139/ssrn.5677602,http://dx.doi.org/10.2139/ssrn.5677602,Bose S; Balatbat M; Green W,,,,,,UNSW staff profile
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The Role of Consideration in China's Split Share Structure Reform,,,Preprints,10.2139/ssrn.1284067,http://dx.doi.org/10.2139/ssrn.1284067,Lu F; Balatbat MCA; Czernkowski RMJ,,,,,,UNSW staff profile
Francisco Barillas Bedoya,https://www.unsw.edu.au/staff/francisco-barillas-bedoya,UNSW Sydney,Finance,Model comparison with sharpe ratios,Journal of Financial and Quantitative Analysis,2020,Journal articles,10.1017/S0022109019000589,http://dx.doi.org/10.1017/S0022109019000589,Barillas F; Kan R; Robotti C; Shanken J,55,pp. 1840 - 1874,,,,UNSW staff profile
Francisco Barillas Bedoya,https://www.unsw.edu.au/staff/francisco-barillas-bedoya,UNSW Sydney,Finance,Speculation and the bond market: An empirical no-arbitrage framework,Management Science,2019,Journal articles,10.1287/mnsc.2018.3027,http://dx.doi.org/10.1287/mnsc.2018.3027,Barillas F; Nimark K,65,pp. 4179 - 4203,,,,UNSW staff profile
Francisco Barillas Bedoya,https://www.unsw.edu.au/staff/francisco-barillas-bedoya,UNSW Sydney,Finance,Comparing Asset Pricing Models,Journal of Finance,2018,Journal articles,10.1111/jofi.12607,http://dx.doi.org/10.1111/jofi.12607,Barillas F; Shanken J,73,pp. 715 - 754,,,,UNSW staff profile
Francisco Barillas Bedoya,https://www.unsw.edu.au/staff/francisco-barillas-bedoya,UNSW Sydney,Finance,Speculation and the term structure of interest rates,Review of Financial Studies,2017,Journal articles,10.1093/rfs/hhx059,http://dx.doi.org/10.1093/rfs/hhx059,Barillas F; Nimark KP,30,pp. 4003 - 4037,,,,UNSW staff profile
Francisco Barillas Bedoya,https://www.unsw.edu.au/staff/francisco-barillas-bedoya,UNSW Sydney,Finance,Which alpha?,Review of Financial Studies,2017,Journal articles,10.1093/rfs/hhw101,http://dx.doi.org/10.1093/rfs/hhw101,Barillas F; Shanken J,30,pp. 1316 - 1338,,,,UNSW staff profile
Francisco Barillas Bedoya,https://www.unsw.edu.au/staff/francisco-barillas-bedoya,UNSW Sydney,Finance,Doubts or variability?,Journal of Economic Theory,2009,Journal articles,10.1016/j.jet.2008.11.014,http://dx.doi.org/10.1016/j.jet.2008.11.014,Barillas F; Hansen LP; Sargent TJ,144,pp. 2388 - 2418,,,,UNSW staff profile
Francisco Barillas Bedoya,https://www.unsw.edu.au/staff/francisco-barillas-bedoya,UNSW Sydney,Finance,A generalization of the endogenous grid method,Journal of Economic Dynamics and Control,2007,Journal articles,10.1016/j.jedc.2006.08.005,http://dx.doi.org/10.1016/j.jedc.2006.08.005,Barillas F; Fernández-Villaverde J,31,pp. 2698 - 2712,,,,UNSW staff profile
Francisco Barillas Bedoya,https://www.unsw.edu.au/staff/francisco-barillas-bedoya,UNSW Sydney,Finance,Recent developments in the Canada-US unemployment rate gap: Changing patterns in unemployment incidence and duration,Canadian Public Policy,2005,Journal articles,10.2307/3552599,http://dx.doi.org/10.2307/3552599,Macklem T; Barillas F,31,pp. 101 - 107,,,,UNSW staff profile
Francisco Barillas Bedoya,https://www.unsw.edu.au/staff/francisco-barillas-bedoya,UNSW Sydney,Finance,"Foreign aid, poverty reduction, and democracy",Applied Economics,2002,Journal articles,10.1080/00036840210136718,http://dx.doi.org/10.1080/00036840210136718,Arvin BM; Barillas F,34,pp. 2151 - 2156,,,,UNSW staff profile
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,"Teachers` Manual for Australian Tax Analysis: Cases Commentary, Commercial Applications & Questions","Australian Tax Analysis: Cases, Commentary, Commercial Applications & Questions",2001,Book Chapters,,,Boccabella D; Coleman C; Hart G,,,Law Book Company,,,UNSW staff profile
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Fringe Benefits Tax,"Australian Tax Analysis: Cases, Commentary, Commercial Applications & Questions",2001,Book Chapters,,,Boccabella D,,pp. 1 - 84,Law Book Company,,,UNSW staff profile
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Fundamental Income Tax Principles,"Australian Tax Analysis: Cases, Commentary, Commercial Applications & Questions",2001,Book Chapters,,,Boccabella D,,pp. 28 - 69,Law Book Company,,,UNSW staff profile
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Goods and Services Tax,"Australian Tax Analysis: Cases, Commentary, Commercial Applications & Questions",2001,Book Chapters,,,Boccabella D,,pp. 1033 - 1113,Law Book Company,,,UNSW staff profile
