researcher_name,researcher_profile_url,university,field_of_research,title,journal_name,year,publication_type,doi,article_url,coauthors,author_count,volume,pages,publisher,citation_percentile,source,citation_top_10_percent,cited_by_count,fwci,issn,openalex_id,author_match_type,openalex_author_id,review_reason
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Risk associated with managed investment primary production projects,International Journal of Project Organisation and Management,2011,Journal Articles,10.1504/ijpom.2011.042033,https://doi.org/10.1504/ijpom.2011.042033,David G. Carmichael; Maria C. A. Balatbat,2,3,273-273,Inderscience Publishers,0.82909673,OpenAlex,False,4,0.7567,1740-2891,W2050797327,name+institution,A5087570372,journal is not on the ABDC list
Rodney Brown,https://www.unsw.edu.au/staff/rodney-brown,UNSW Sydney,Accounting,Preferential codon usage in genes,Gene,1981,Journal Articles,10.1016/0378-1119(81)90015-9,https://doi.org/10.1016/0378-1119(81)90015-9,Simon Wain–Hobson; Ruth Nussinov; Rodney J. Brown; Joel L. Sussman,4,13,355-364,Elsevier BV,0.96183676,OpenAlex,True,63,4.9754,0378-1119,W2039338119,name+institution,A5112425101,journal is not on the ABDC list
Elizabeth Carson,https://www.unsw.edu.au/staff/elizabeth-carson,UNSW Sydney,Accounting,Choosing Wisely in Pre-clinical Medical Education: a Direct Comparison of Active Learning Methods for Teaching Metabolic Liver Disease,Medical Science Educator,2019,Journal Articles,10.1007/s40670-019-00821-2,https://doi.org/10.1007/s40670-019-00821-2,Elizabeth Carson; Rebecca Wilcox,2,30,139-146,Springer Science+Business Media,0.7347226,OpenAlex,False,6,0.6408,2156-8650,W2982322564,name+institution,A5102739755,journal is not on the ABDC list
Elizabeth Carson,https://www.unsw.edu.au/staff/elizabeth-carson,UNSW Sydney,Accounting,Audit reports in Australia : 2005-2013: Preliminary Findings,QUT Business School,2014,Journal Articles,,,Elizabeth Carson; Yuyu Zhang; Neil Fargher,3,,,,0.00112578,OpenAlex,False,0,0.0,,W9047450,name+institution,A5102739755,journal is not on the ABDC list
Linda Chang,https://www.unsw.edu.au/staff/linda-chang,UNSW Sydney,Accounting,Sketchy: Drawing Inspiration from the Crowd,Proceedings of the ACM on Human-Computer Interaction,2020,Journal Articles,10.1145/3415243,https://doi.org/10.1145/3415243,Shaun Wallace; Brendan Le; Luis A. Leiva; Aman Haq; Ari Kintisch; Gabrielle Bufrem; Linda Chang; Jeff Huang,8,4,1-27,Association for Computing Machinery,0.90220432,OpenAlex,True,31,2.6996,2573-0142,W3093594662,name+institution,A5048806060,journal is not on the ABDC list
Linda Chang,https://www.unsw.edu.au/staff/linda-chang,UNSW Sydney,Accounting,The Effects of Using CALL on Advanced Chinese Foreign Language Learners,CALICO Journal,2007,Journal Articles,10.1558/cj.v24i2.331-354,https://doi.org/10.1558/cj.v24i2.331-354,Linda Chang,1,24,331-354,Equinox Publishing,0.96186855,OpenAlex,True,25,6.7114,0742-7778,W1855179145,name+institution,A5048806060,journal is not on the ABDC list
Linda Chang,https://www.unsw.edu.au/staff/linda-chang,UNSW Sydney,Accounting,Aligning principal and agent’s incentives: A principal–agent perspective of social networking sites,Expert Systems with Applications,2013,Journal Articles,10.1016/j.eswa.2013.10.040,https://doi.org/10.1016/j.eswa.2013.10.040,Linda Chang; Victor Chen,2,41,3091-3104,Elsevier BV,0.84241716,OpenAlex,False,18,0.9582,0957-4174,W2004442441,name+institution,A5048806060,journal is not on the ABDC list
Zongxi Chen,https://www.unsw.edu.au/staff/zongxi-chen,UNSW Sydney,Accounting,Some three-weight linear codes and their complete weight enumerators and weight hierarchies,Designs Codes and Cryptography,2026,Journal Articles,10.1007/s10623-025-01747-0,https://doi.org/10.1007/s10623-025-01747-0,Xiumei Li; Zongxi Chen; Fei Li,3,94,,Springer Nature,0.07505667,OpenAlex,False,0,0.0,0925-1022,W7125376832,name+institution,A5123542660,journal is not on the ABDC list
Mandy Cheng,https://www.unsw.edu.au/staff/mandy-cheng,UNSW Sydney,Accounting,Automatic categorization of self-acknowledged limitations in randomized controlled trial publications,Journal of Biomedical Informatics,2024,Journal Articles,10.1016/j.jbi.2024.104628,https://doi.org/10.1016/j.jbi.2024.104628,Mengfei Lan; Mandy M. Cheng; Linh Hoang; Gerben ter Riet; Halil Kilicoglu,5,152,104628-104628,Elsevier BV,0.88318882,OpenAlex,False,8,2.3382,1532-0464,W4393187322,name+institution,A5017140509,journal is not on the ABDC list
David Colwell,https://www.unsw.edu.au/staff/david-colwell,UNSW Sydney,Finance,Model-agnostic explainable artificial intelligence for object detection in image data,Engineering Applications of Artificial Intelligence,2024,Journal Articles,10.1016/j.engappai.2024.109183,https://doi.org/10.1016/j.engappai.2024.109183,Milad Moradi; Ke Yan; David B. Colwell; Matthias Samwald; Rhona Asgari,5,137,109183-109183,Elsevier BV,0.95249257,OpenAlex,True,20,4.6169,0952-1976,W4401928363,name+institution,A5069756293,journal is not on the ABDC list
David Colwell,https://www.unsw.edu.au/staff/david-colwell,UNSW Sydney,Finance,A Critical Review of Methods and Challenges in Large Language Models,"Computers, materials & continua/Computers, materials & continua (Print)",2025,Journal Articles,10.32604/cmc.2025.061263,https://doi.org/10.32604/cmc.2025.061263,Rhona Asgari; Milad Moradi; Ke Yan; David B. Colwell; Matthias Samwald,5,82,1681-1698,,0.98580005,OpenAlex,True,13,13.7833,1546-2218,W4407048461,name+institution,A5069756293,journal is not on the ABDC list
David Colwell,https://www.unsw.edu.au/staff/david-colwell,UNSW Sydney,Finance,A jump diffusion model for spot electricity prices and market price of risk,Physica A Statistical Mechanics and its Applications,2013,Journal Articles,10.1016/j.physa.2013.03.026,https://doi.org/10.1016/j.physa.2013.03.026,Ramaprasad Bhar; David B. Colwell; Yuewen Xiao,3,392,3213-3222,Elsevier BV,0.86255249,OpenAlex,False,11,1.616,0378-4371,W2075066899,name+institution,A5069756293,journal is not on the ABDC list
David Colwell,https://www.unsw.edu.au/staff/david-colwell,UNSW Sydney,Finance,Component Structure of Credit Default Swap Spreads and Their Determinants,International Journal of Accounting and Financial Reporting,2018,Journal Articles,10.5296/ijafr.v8i4.13811,https://doi.org/10.5296/ijafr.v8i4.13811,Ramaprasad Bhar; David B. Colwell; Peipei Wang,3,8,248-248,Macrothink Institute,0.66990765,OpenAlex,False,2,0.2769,2162-3082,W3125457254,name+institution,A5069756293,journal is not on the ABDC list
David Colwell,https://www.unsw.edu.au/staff/david-colwell,UNSW Sydney,Finance,Resource conservation,Transactions of the IMF,2007,Journal Articles,10.1179/174591907x216477,https://doi.org/10.1179/174591907x216477,David B. Colwell,1,85,176-177,Taylor & Francis,0.66613599,OpenAlex,False,1,0.0,0020-2967,W4243004508,name+institution,A5069756293,journal is not on the ABDC list
David Colwell,https://www.unsw.edu.au/staff/david-colwell,UNSW Sydney,Finance,Legal Update—a stay-out-of-jail card in the monopoly maze of environmental health and safety legislation,Transactions of the IMF,2003,Journal Articles,10.1080/00202967.2003.11871497,https://doi.org/10.1080/00202967.2003.11871497,David B. Colwell,1,81,B49-B50,Taylor & Francis,0.48783109,OpenAlex,False,0,0.0,0020-2967,W2612156042,name+institution,A5069756293,journal is not on the ABDC list
David Colwell,https://www.unsw.edu.au/staff/david-colwell,UNSW Sydney,Finance,RoHS Compliance,Transactions of the IMF,2007,Journal Articles,10.1179/imf.2007.85.2.65,https://doi.org/10.1179/imf.2007.85.2.65,David B. Colwell,1,85,65-65,Taylor & Francis,0.42276649,OpenAlex,False,0,0.0,0020-2967,W4238757341,name+institution,A5069756293,journal is not on the ABDC list
David Colwell,https://www.unsw.edu.au/staff/david-colwell,UNSW Sydney,Finance,Artificial intelligence for context-aware visual change detection in software test automation,Progress in Artificial Intelligence,2025,Journal Articles,10.1007/s13748-025-00408-6,https://doi.org/10.1007/s13748-025-00408-6,Milad Moradi; Ke Yan; David B. Colwell; Rhona Asgari,4,,,Springer Science+Business Media,0.094174,OpenAlex,False,0,0.0,2192-6352,W4414847189,name+institution,A5069756293,journal is not on the ABDC list
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,"Nearly a decade‐long repeatable seasonal diversity patterns of bacterioplankton communities in the eutrophic Lake Donghu (Wuhan, China)",Molecular Ecology,2017,Journal Articles,10.1111/mec.14151,https://doi.org/10.1111/mec.14151,Qingyun Yan; James Stegen; Yuhe Yu; Ye Deng; Xinghao Li; Shu Wu; Lili Dai; Xiang Zhang; Jinjin Li; Chun Wang; Jiajia Ni; Xuemei Li; Hongjuan Hu; Fanshu Xiao; Weisong Feng; Daliang Ning; Zhili He; Joy D. Van Nostrand; Liyou Wu; Jizhong Zhou,20,26,3839-3850,Wiley,0.97652016,OpenAlex,True,101,7.7096,0962-1083,W2609191255,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,An apoptotic body-biomimic liposome in situ upregulates anti-inflammatory macrophages for stabilization of atherosclerotic plaques,Journal of Controlled Release,2019,Journal Articles,10.1016/j.jconrel.2019.10.043,https://doi.org/10.1016/j.jconrel.2019.10.043,Yue Wu; Yong Zhang; Lili Dai; Qianqian Wang; Lingjing Xue; Zhigui Su; Can Zhang,7,316,236-249,Elsevier BV,0.88150272,OpenAlex,False,78,2.0757,0168-3659,W2982621771,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Organic Matter Regulates Ammonia-Oxidizing Bacterial and Archaeal Communities in the Surface Sediments of Ctenopharyngodon idellus Aquaculture Ponds,Frontiers in Microbiology,2018,Journal Articles,10.3389/fmicb.2018.02290,https://doi.org/10.3389/fmicb.2018.02290,Lili Dai; Chengqing Liu; Liqin Yu; Chaofeng Song; Liang Peng; Xiaoli Li; Ling Tao; Li Gu,8,9,2290-2290,Frontiers Media,0.88918449,OpenAlex,False,76,2.3771,1664-302X,W2893903490,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Different distribution patterns of microorganisms between aquaculture pond sediment and water,The Journal of Microbiology,2021,Journal Articles,10.1007/s12275-021-0635-5,https://doi.org/10.1007/s12275-021-0635-5,Lili Dai; Chengqing Liu; Liang Peng; Chaofeng Song; Xiaoli Li; Ling Tao; Li Gu,7,59,376-388,Springer Science+Business Media,0.95250881,OpenAlex,True,49,4.7652,1225-8873,W3132042249,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,"Influence of environmental factors on zooplankton assemblages in Bosten Lake, a large oligosaline lake in arid northwestern China",ScienceAsia,2014,Journal Articles,10.2306/scienceasia1513-1874.2014.40.001,https://doi.org/10.2306/scienceasia1513-1874.2014.40.001,Lili Dai; Yingchun Gong; Xuemei Li; Weisong Feng; Yuhe Yu,5,40,1-1,,0.0811618,OpenAlex,False,26,0.0,1513-1874,W2122652571,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Correlation between anti-fibrotic effect of baicalin and serum cytokines in rat hepatic fibrosis,World Journal of Gastroenterology,2009,Journal Articles,10.3748/wjg.15.4720,https://doi.org/10.3748/wjg.15.4720,Xiaodong Peng; Lili Dai; Chang-Quan Huang; Chunmei He; Lijuan Chen,5,15,4720-4720,Baishideng Publishing Group,0.83578495,OpenAlex,False,48,1.6263,1007-9327,W2131191820,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Design and performance of a novel rice hydroponic biofilter in a pond-scale aquaponic recirculating system,Ecological Engineering,2018,Journal Articles,10.1016/j.ecoleng.2018.10.001,https://doi.org/10.1016/j.ecoleng.2018.10.001,Gu Li; Ling Tao; LI Xiao-li; Liang Peng; Cao-feng Song; Lili Dai; Yun-zi Wu; Lei Xie,8,125,1-10,Elsevier BV,0.87948833,OpenAlex,False,46,2.3382,0925-8574,W2896540189,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Combined effects of pentachlorophenol and its byproduct hexachlorobenzene on endocrine and reproduction in zebrafish,Chemosphere,2018,Journal Articles,10.1016/j.chemosphere.2018.12.100,https://doi.org/10.1016/j.chemosphere.2018.12.100,Wen Sun; Yali Jia; Xisheng Ding; Lili Dai; Chunsheng Liu; Jianghua Wang; Gaofeng Zhao; Huaidong Zhou; Liqin Yu,9,220,216-226,Elsevier BV,0.73881866,OpenAlex,False,28,1.1229,0045-6535,W2903785091,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Resveratrol inhibits ACHN cells via regulation of histone acetylation,Pharmaceutical Biology,2020,Journal Articles,10.1080/13880209.2020.1738503,https://doi.org/10.1080/13880209.2020.1738503,Lili Dai; Lingyan Chen; Wenjing Wang; Pei-zheng Lin,4,58,231-238,Taylor & Francis,0.81064041,OpenAlex,False,19,1.3744,0925-1618,W3012589720,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Exploring the mechanism of piperlongumine in promoting ferroptosis in cervical cancer based on network pharmacology and molecular docking analysis,Letters in Drug Design & Discovery,2025,Journal Articles,10.1016/j.lddd.2025.100174,https://doi.org/10.1016/j.lddd.2025.100174,Zhixiang Du; Yujing Wang; Xurui Wei; Yadi Zong; Lili Dai,5,22,100174-100174,Bentham Science Publishers,0.88761113,OpenAlex,False,3,2.1137,1570-1808,W4416626585,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Potentiating immunotherapy in “immune-cold” solid tumors through orchestrating T cell immunity via tumor-specific genetic engineering,Cell Reports Medicine,2025,Journal Articles,10.1016/j.xcrm.2025.102510,https://doi.org/10.1016/j.xcrm.2025.102510,Jiaqi He; Chunguang Zhang; Chao Liang; Wenchi Xue; Yongheng Li; Lili Dai; Chunyuan Liu; Wan‐Ru Zhuang; Xianbin Ma; Ran Cheng; Lei Yao; Weidong Nie; Hai-Yan Xie,13,6,102510-102510,Elsevier BV,0.84560964,OpenAlex,False,3,1.3808,2666-3791,W4417498287,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,An inorganic boronate affinity in-needle monolithic device for specific capture of cis-diol containing compounds,Talanta,2017,Journal Articles,10.1016/j.talanta.2017.10.011,https://doi.org/10.1016/j.talanta.2017.10.011,Shanxia Jin; Wei Zhang; Yang Qin; Lili Dai; Zhou Ping,5,178,710-715,Elsevier BV,0.77483705,OpenAlex,False,19,1.3133,0039-9140,W2763665970,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Spatiotemporal pattern of bacterioplankton in Donghu Lake,Chinese Journal of Oceanology and Limnology,2014,Journal Articles,10.1007/s00343-014-3037-2,https://doi.org/10.1007/s00343-014-3037-2,Xiang Zhang; Qingyun Yan; Yuhe Yu; Lili Dai,4,32,554-564,Springer Nature,0.73349045,OpenAlex,False,18,0.5625,0254-4059,W2349801729,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,"Parental exposure to environmental concentrations of tris(1,3-dichloro-2-propyl)phosphate induces abnormal DNA methylation and behavioral changes in F1 zebrafish larvae",Environmental Pollution,2020,Journal Articles,10.1016/j.envpol.2020.115305,https://doi.org/10.1016/j.envpol.2020.115305,Xisheng Ding; Wen Sun; Lili Dai; Chunsheng Liu; Qian Sun; Jianghua Wang; Panwei Zhang; Kun Li; Liqin Yu,9,267,115305-115305,Elsevier BV,0.6953896,OpenAlex,False,17,0.8372,0269-7491,W3048287528,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,"The application of ceramsite ecological floating bed in aquaculture: its effects on water quality, phytoplankton, bacteria and fish production",Water Science & Technology,2018,Journal Articles,10.2166/wst.2018.187,https://doi.org/10.2166/wst.2018.187,Xiaoli Li; Thomas Kiran Marella; Ling Tao; Lili Dai; Liang Peng; Chaofeng Song; Gu Li,7,77,2742-2750,Pergamon Press,0.67525204,OpenAlex,False,15,0.8025,0273-1223,W2799770819,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Preparation of quaternized cellulose/chitosan microspheres for selective enrichment of phosphopeptides,Analytical and Bioanalytical Chemistry,2017,Journal Articles,10.1007/s00216-017-0273-2,https://doi.org/10.1007/s00216-017-0273-2,Lili Dai; Shanxia Jin; Mengying Fan; Zhou Ping,4,409,3309-3317,Springer Science+Business Media,0.64928567,OpenAlex,False,14,0.788,1618-2642,W2591792836,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,The impact of practical training based on narrative nursing on the humanistic care ability of Chinese intern nurses,Frontiers in Medicine,2025,Journal Articles,10.3389/fmed.2025.1635846,https://doi.org/10.3389/fmed.2025.1635846,Lili Dai; Yu-Qin Han; Qunhua Jiang; Wenxian Ge; Hong Zhao; Ping Xu,6,12,1635846-1635846,Frontiers Media,0.7607498,OpenAlex,False,1,0.7565,2296-858X,W4415982069,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Effects of Deep Electroacupuncture Stimulation at “Huantiao” (GB 30) on Expression of Apoptosis-Related Factors in Rats with Acute Sciatic Nerve Injury,Evidence-based Complementary and Alternative Medicine,2015,Journal Articles,10.1155/2015/157897,https://doi.org/10.1155/2015/157897,Lili Dai; Yan-Jing Han; Tie-Ming Ma; Yuli Liu; Lu Ren; Zeng-Hua Bai; Ye Li,7,2015,1-8,Hindawi Publishing Corporation,0.80526214,OpenAlex,False,8,1.3795,1741-427X,W1515603170,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Modification of Luffa Sponge for Enrichment of Phosphopeptides,International Journal of Molecular Sciences,2019,Journal Articles,10.3390/ijms21010101,https://doi.org/10.3390/ijms21010101,Lili Dai; Zhe Sun; Zhou Ping,3,21,101-101,Multidisciplinary Digital Publishing Institute,0.51153872,OpenAlex,False,6,0.3243,1422-0067,W2995192307,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Stochastic factors drive dynamics of ammonia-oxidizing archaeal and bacterial communities in aquaculture pond sediment,Frontiers in Microbiology,2022,Journal Articles,10.3389/fmicb.2022.950677,https://doi.org/10.3389/fmicb.2022.950677,Lili Dai; Liqin Yu; Liang Peng; Ling Tao; Yanbin Liu; Gu Li,6,13,950677-950677,Frontiers Media,0.35477154,OpenAlex,False,4,0.1922,1664-302X,W4302304742,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,"The Effect of Online Shopping Experience Marketing in China on Consumer Attitude, Purchase and Conversational Intention",Journal of Distribution and Management Research,2020,Journal Articles,10.17961/jdmr.23.05.202010.121,https://doi.org/10.17961/jdmr.23.05.202010.121,Lili Dai; JOON SUNG KIM,2,23,121-135,,0.20638814,OpenAlex,False,1,0.0,2384-0137,W3111930601,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Responses of the fine root morphology and vertical distribution of Populus × euramericana ‘Guariento’ to the coupled effect of water and nitrogen,Chinese Journal of Plant Ecology,2015,Journal Articles,10.17521/cjpe.2015.0079,https://doi.org/10.17521/cjpe.2015.0079,Xiaoli Yan; DAI Teng-Fei; Liming Jia; Lili Dai; and XIN Fu-Mei,5,39,825-837,Chinese Academy of Sciences,0.82440575,OpenAlex,False,4,1.0887,1005-264X,W3102236126,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Multi-splitting of Lamb waves band gap in one-dimensional quasi-periodic plates of cantor series,Acoustical Physics,2014,Journal Articles,10.1134/s1063771014010059,https://doi.org/10.1134/s1063771014010059,Ding Hong-xing; Lili Dai; Zhonghua Shen; Lin Yuan; Xiaowu Ni,5,60,110-114,Pleiades Publishing,0.6496688,OpenAlex,False,3,0.4933,1063-7710,W2054194902,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Effect of modified maize starch binder on the quality of seed tape twisting.,Nongye gongcheng xuebao,2010,Journal Articles,,,Wentao Ren; Lili Dai; Hongguang Cui; Xiang QuanLi,4,26,164-169,Chinese Society of Agricultural Engineering,0.73053473,OpenAlex,False,3,0.7747,1002-6819,W2416082944,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Experiment on the motion characteristics of rice seeds after collision with different slopes.,Nongye gongcheng xuebao,2009,Journal Articles,,,Wentao Ren; Bin Dong; Hongguang Cui; Man Shuang; Xiang QuanLi; Lili Dai,6,25,103-107,Chinese Society of Agricultural Engineering,0.79048682,OpenAlex,False,3,0.843,1002-6819,W306480284,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,The surface tension of aqueous glycine ionic liquids: [C3mim][Gly] and [C4mim][Gly],Scientia Sinica Chimica,2012,Journal Articles,10.1360/032011-369,https://doi.org/10.1360/032011-369,Jia‐Zhen Yang; Jing TONG; Panpan Wang; Yu-Xia Kong; Lili Dai,5,42,776-783,Science China Press,0.37497432,OpenAlex,False,2,0.1297,1006-9240,W1823656730,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Effect of Fertilizer and Herbicides in Seed Tape on Rice Growth Characteristics,Shenyang Nongye Daxue xuebao,2011,Journal Articles,,,Lili Dai,1,,,Shenyang Agricultural University,0.75993655,OpenAlex,False,2,0.4105,1000-1700,W2358420027,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Fiber Composite in Armor Protection Application,Fiber Composites,2012,Journal Articles,,,Lili Dai,1,,,,0.44949608,OpenAlex,False,1,0.0,,W2384729071,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Improvement of A Subsurface Drip Irrigation Automatic Control System for Greenhouse,Shenyang Nongye Daxue xuebao,2009,Journal Articles,,,Wentao Ren; Xiang QuanLi; Hongguang Cui; Lili Dai; Yi Huang; Yulong Zhang,6,40,728-731,Shenyang Agricultural University,0.28160486,OpenAlex,False,0,0.0,1000-1700,W2284660295,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Characteristics of Zooplankton Community Structure in Niyang River Basin of Tibet,Journal of Hydroecology,2012,Journal Articles,,,Lili Dai,1,,,,0.18881652,OpenAlex,False,0,0.0,,W2357869005,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Atmospheric Aerosols and the Overview of its Research,Journal of Lianyungang Teachers College,2007,Journal Articles,,,Lili Dai,1,,,,0.25275955,OpenAlex,False,0,0.0,,W2369575342,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Study on 3414+2 Field Fertilizer Efficiency of Spring Maize in Funing County,Journal of Hebei Agricultural Sciences,2012,Journal Articles,,,Lili Dai,1,,,Hebei Academy of Agriculture and Forestry Sciences,0.32465803,OpenAlex,False,0,0.0,,W2373187778,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Existence of entropy solutions for an elliptic equation with degenerate coercivity,Huadong Shifan Daxue xuebao. Ziran kexue ban,2019,Journal Articles,10.3969/j.issn.1000-5641.2019.04.006,https://doi.org/10.3969/j.issn.1000-5641.2019.04.006,Lili Dai,1,2019,52,East China Normal University Press,0.16429384,OpenAlex,False,0,0.0,1000-5641,W2992151839,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Measurement of surface vibration signal of 500 kV transformer and analysis of its frequency characteristics,International Journal of Emerging Electric Power Systems,2023,Journal Articles,10.1515/ijeeps-2022-0395,https://doi.org/10.1515/ijeeps-2022-0395,Lili Dai; Guangyong Zhang; Jinqin Guo; Yongwei Li,4,24,485-497,De Gruyter,0.05891356,OpenAlex,False,0,0.0,1553-779X,W4379792903,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Lili Dai,https://www.unsw.edu.au/staff/lili-dai,UNSW Sydney,Accounting,Scale development and empirical testing of semi-organizational low-carbon environmental citizenship behaviors: evidence from international students studying in China,Journal of Material Cycles and Waste Management,2025,Journal Articles,10.1007/s10163-025-02174-y,https://doi.org/10.1007/s10163-025-02174-y,Qiong Zhang; Lei Ding; Lili Dai; Jing Zheng,4,27,1192-1213,Springer Science+Business Media,0.02403947,OpenAlex,False,0,0.0,1438-4957,W4407589453,name+institution,A5038905034,probable name collision: only 0 of 35 in a business journal
Sander De Groote,https://www.unsw.edu.au/staff/sander-de-groote,UNSW Sydney,Accounting,Functional magnetic resonance imaging: cerebral function alterations in subthreshold and suprathreshold spinal cord stimulation,Journal of Pain Research,2018,Journal Articles,10.2147/jpr.s160890,https://doi.org/10.2147/jpr.s160890,Sander De Groote; Mats De Jaeger; Peter Van Schuerbeek; Stefan Sunaert; Ronald Peeters; Dirk Loeckx; Lisa Goudman; Patrice Forget; Ann De Smedt; Maarten Moens,10,Volume 11,2517-2526,Dove Medical Press,0.94937084,OpenAlex,True,28,4.2835,1178-7090,W2896434876,name+institution,A5053427457,probable name collision: only 0 of 8 in a business journal
Sander De Groote,https://www.unsw.edu.au/staff/sander-de-groote,UNSW Sydney,Accounting,Is the Self-Reporting of Failed Back Surgery Syndrome Patients Treated With Spinal Cord Stimulation in Line With Objective Measurements?,Neuromodulation Technology at the Neural Interface,2017,Journal Articles,10.1111/ner.12719,https://doi.org/10.1111/ner.12719,Lisa Goudman; Iris Smet; Peter Mariën; Mats De Jaeger; Sander De Groote; Eva Huysmans; Koen Putman; Jean‐Pierre Van Buyten; Ronald Buyl; Maarten Moens,10,21,93-100,Elsevier BV,0.82409812,OpenAlex,False,18,1.4092,1094-7159,W2765672831,name+institution,A5053427457,probable name collision: only 0 of 8 in a business journal
